stage,epidermis,erythrocytes,exocrine.pancreas,eye,glial,heart,immune,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,5.7,0,0,0,7.66,0,0,0,0,0,0,0
 14-21,0,2.26,0,0,1.25,0,83.16,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0.68,0.66,0,0,0,1.04,135.11,0.8,2.18,0,0,7.67,5.45,0,0,0,0,1.13,1.47,0,0.83,0,0
 36-46,0,17.02,0,0,0,0,152.83,0,0,0,0.56,14.49,0,0,0,0,0,0,9.83,0,1.43,0,0
 48-58,0,0.69,0,0,0,0,200.28,0,1.29,0,0.45,2.35,0,0,0,0,0,0.74,1.26,0,1.48,0,0
 60-70,0,0,0,1.6,0,0,258,0,1.63,0,0,17.35,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,2.68,1.89,0,270.64,0,7.89,1.12,0,9.69,0,0,0.79,0,1.54,0,0,0.91,3.55,0,0
 84-94,0,0,0,1.73,0,0,351.73,0,4.39,0,0,0,0,0,0,0,3.25,0,0,0,0.94,0,0
 96-106,2.66,0.96,0,2.09,3.47,0,330.84,0,0.73,0.7,0,1.61,0,2.1,0,0,1.13,0,0,0,1.47,0,0
108-118,0,0,0,2.29,0,0,301.79,0,2.44,1.32,0.75,5.25,0,0,0,0,1.46,0,0,0,1.46,0,0
120,7.9,8.71,15.97,3.24,0,0,469.42,0,0,8.5,0,3.14,0,0,0,0,0,0,0,0,0,2.64,18.98
