stage,endoderm,epidermis,eye,fin_mesenchyme,glial,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature
 14-21,0,0,1.71,0,0,0,0,0,4.93,6.7,0,0,0,0,0,1.96,1.46,2.23,0,0,0
 24-34,0.7,0.74,1.46,0,0,0,2.22,1.67,15.39,2.82,0,0,0,0,0,0,1.79,12.11,0,0,1.85
 36-46,0,0,3.49,0,0,0,4.52,0.64,11.43,0.64,0,0,0,0,0,0,0,0.63,0,0,0
 48-58,0,0,1.09,0,2.84,0.38,2.22,0,10.77,0,0,0,0,0,0,0,0,3.64,0,0,0
 60-70,0,2.58,8.28,0,1.6,0,2.86,1,18.08,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,3.92,0.87,0,0,2.13,0,9.48,0,1.12,0,0,0,0,0,0,6.84,0,0,0
 84-94,0,0,7.31,0,1.17,0,2,0,4.61,0,0,0,5.27,0,0,0,0,0,0,0.88,0
 96-106,0,0.73,4.23,0,4.82,0,0.87,0,4.97,0,0,0,0,2.37,2.06,0,0,9.43,0.62,0,0
108-118,0,0.79,2.98,0,1.28,0,7.48,0,9.25,0,0,1.1,0,0.45,0,0,0,0,0,0,0
120,0,1.18,0,1.67,0,0,7.27,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0
