stage,blastomeres,eye,glial,immune,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,periderm,spinal_cord
  5-6,14.65,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,23.41,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,16.44,0,0,0
 14-21,0,0,0,0,0,0.9,0.84,0,0,0,0,1.06
 24-34,0,0,0,0,0.68,1.6,0,3.09,0,0,0,2.63
 36-46,0,0,0,0,0,0,0.79,0,0,0,0,0
 48-58,0,0.46,0.67,0,0,0,0,0,0,0.41,0,0
 60-70,0,4.05,0,0,0,0.88,0,4.99,0,0,0,0
 72-82,0,0.96,0,0,0,0,0,11.08,0,0,0,0
 84-94,0,1.88,0,0,0,0,0,0,0,0,0.66,0
 96-106,0,0.68,0,0,1.37,0,0,0,0,0,2.04,0
108-118,0,0,0,0.43,0,0,0,0,0,0,2.55,4.7
120,0,0,1.85,0,0,0,0,0,0,0,0,12.44
