stage,axial,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,mesenchyme,muscle,neural,notochord,otic,periderm,spinal.cord,vasculature
 14-21,0,0.84,0,0,0,0,0,0,0,0,0,9.09,0,0,0
 24-34,0,0,0,0,1.2,0,0,0,7.47,1.26,0,35.15,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.8,0,26.82,0,0,0
 48-58,0,0,0,7.31,0,0.74,0,0,0,17.92,0,10.55,0,4.43,1.25
 60-70,0,0,0,7.58,0,0,0,0,0,3.87,0,25.88,0,0,0
 72-82,0,0,0,8.93,0,0,1.38,0,0,15.94,0,45,0,2.71,0
 84-94,0,0,0,14.4,0,0,0,3.11,0,0,0,32.4,0,5.27,0
 96-106,0,0,0,14.1,0,0,0,4.28,0,13.83,0,37.53,1.24,0,0.69
108-118,0,0,3.78,1.51,0,2.78,0,2.88,0,4.2,0,69.82,0.55,0,0
120,1.12,3.01,0,0,0,0,0,0,0,0,2.47,87.08,0,0,0
