stage,fin_mesenchyme,immune,mesenchyme,muscle,neural,pericytes,visceral_smooth_muscle
 60-70,4.91,0,0.81,0,0,0,0
 72-82,0,6.09,0,0,1.86,0,1.16
 84-94,0,0.55,1.18,0,0,0,0
 96-106,0,0.88,2.5,0,0,2.9,0.58
108-118,0,0.77,0,0,0,0,0
120,0,0,0,1.32,0,0,0
