stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1.35,2.5,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.14,0,0,0,23.36,3.3,0,0,0,0,0.96,1.85,0,1.9,0,0,0,0,0
 24-34,0,0.68,0,0,1.5,0,0,0,0.63,0.59,0,0,4.49,4.09,0,0,2.28,0,2.47,1.24,0,0,263.63,20.05,9.88,0,0.72,0,0,0.61,0,45.39,0,0,3.68,0,0
 36-46,0,0,0,0,16.74,0,0,0,23.42,0,0,1.05,2.96,1.52,0,0,8.35,0,2.86,0,1.72,0,796.14,17.12,13.4,0,0,0,0,0,0,41.56,0,0,4.1,0,0
 48-58,0,0,2.53,0,194.41,0,0,1.12,8.74,0,0,0,2.88,0.82,3.44,0,9.72,0.43,12.07,1.17,0,2.11,1042.42,22.72,5.82,0,0,0,0,0,0,51.96,0,0,8.33,0,0
 60-70,0,0,5.91,0,1727.03,1.33,0,0,11.12,0.63,0,0,9.2,1.41,0.85,0,0.87,0,36.03,0,0,0,1895.13,14.79,4.83,1.64,0,0,0,0,3,52.54,0,1.84,1.29,0,5.58
 72-82,0,0,25.25,6.34,3571.53,0,0,3.4,90.74,0,0.52,0,13.16,5.62,3.01,0,2.89,10.57,77.83,0,0.89,2.83,2754.28,4.79,2.38,0.49,11.25,0,0,0.91,0.7,54.75,0,1.86,12.08,0.76,14.44
 84-94,0,0,13.32,3.36,2562.53,0.68,0,1.58,91.11,2.89,1.95,1.66,18.34,0,8.56,0,1.98,0,92.95,0,7.86,3.56,1795.68,10.7,5.08,0,5.18,0,0,2.22,5.58,40.84,0.9,0,4.13,0,0.87
 96-106,0.91,0,26.83,24.33,3337.13,0.86,0.6,0,62.71,3.07,2.64,0,23.98,1.75,1.77,0,9.96,0,73.41,1.73,0,5.16,1496.8,11,4.17,4.7,8.54,0,0,2.53,2.4,40.84,0.61,0,9.45,0,0
108-118,0,0,73.3,0,2176.76,0,2,0,47.62,2.78,0,1.5,25.15,2.18,8.67,0,6.16,0,48.33,0,5.54,1.25,2114.56,13.02,6.39,6.35,2.28,0.48,0,2.34,2.32,23.12,0.71,0.77,0.92,4.7,0
120,0,0,23.51,6.08,1615.67,1.99,0,2.28,46.53,0,0,0,37.04,5.41,3.86,5.62,0,0,71.13,0,0,4.02,3260.29,75.36,0,2.44,9.05,0,0,1.02,0,29.42,0,0,1.48,0,0
