stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,491.73,8556.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278.72,0,0,0,0,0,0,0,0
  5-6,371.25,5700.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.62,17.23,0,0,16.98,135.22,0,0,0,0,0,0,0,0
  7-9,32.32,16.6,0,20.12,0,0,38.06,0,0,0,0,0,8.95,0,0,0,0,0,0,0,0,552.74,21.24,0,0,190.47,0,20.24,0,0,0,0,0,0,0
 10-12,0,0,0,11.76,0,0,0,0,0,0,0,0,4.67,0,0,0,0,0,0,0,0,27.32,0,0,0,48.19,4.33,0,7.38,0,4.75,0,0,0,0
 14-21,0,0,0,0,8.14,0,2.69,0,0,0,0,0,0,0,0,48.18,0,0,0,0,10.5,4.71,3.35,0,0,0,4.24,0.9,0,50.07,26.62,8.8,0,0,0
 24-34,0,0,0,0,0.64,0,13.03,2.28,0,0,0,0,0,5.51,0,42.92,0,0,0,0,0,11.39,0,0,0,0,3.62,0,0,0.76,2.77,30.6,0,0,0
 36-46,0,0,0,1.48,0,0,20,0,0,0,0,0,0,3.84,0,18.09,0,0.59,0,0,0.95,13.97,0,1.61,0,0,2.98,0,0,0,0,1.4,0,0,0
 48-58,0,0,0,0,0,0,7.63,0.58,0,0,0,0,0,0,0,12.16,0,0.52,0,0,0,25.18,2.33,1.62,0,0,1.54,0,0,0,0,5.15,0,0,0
 60-70,0,0,0,0,0,0,16.72,0,0,0,1.04,0,0,0,0,5.08,7.57,0.72,0,0,1.39,27.44,0,0.98,2.96,0,2.41,0,0,0,0,0,0,0,0
 72-82,0,0,1.96,0,0,0,16.32,0,0,0,1.36,7.86,0,1.06,0,5.17,0,3.94,0.79,0,0,23.06,0,1.27,0,0,2.6,0,0,0,0,1.27,0,0,3.71
 84-94,0,0,0,0,0,0,17.66,0.67,0,0.75,0.72,2.74,0,0,6.24,5.09,0.68,1.37,0,3.91,0,70.88,0,0,1.34,0,15.33,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0.65,0,27.62,0,0,0,0,10.16,0,2.04,0,4.17,0.69,12.8,0,0,1.33,38.49,0,0,0.64,0,5.88,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.58,0,3.49,0,4.36,0,0.76,19.01,0,0.89,0.87,4.59,0,3.7,0,0,1.84,21.71,0,0,1.1,0,16.67,0,0,0,0,0,1.84,0.55,1.42
120,0,0,0,0,0,6.93,0,0,0,0,0,11.26,0,2.06,0,16.08,0,0,0,0,3.83,33.69,0,0,0,0,3.22,0,0,0,0,0,0,0,0
