stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  5-6,153.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49,0,0,0,0,0,0
  7-9,10.69,0,7.63,0,0,0,12.44,0,0,12.87,0,0,0,0,0,0,0,0,0,97.99,18.92,0,0,38.03,0,0,0,0,0,0,0
 10-12,5.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.48,0,0,0,4.07,0,12.36,7.48,0,0,0,0
 14-21,0,0,0,0,10.91,0,0,0,0,0,0,0,0,0,0,10.52,0.83,0,0,0,0,0,0,0,0,46.72,0,0,0,7.97,0
 24-34,0,0,6.7,2.77,0.62,0,0.79,0,0.85,0,0,0,2.55,0,0,3.69,1.11,0,0,7.23,0,0,0,0,0,196.88,0,2.92,0,5.09,0
 36-46,0,0.98,0,0,0,0,0,0,1.18,0,1.26,0,0.63,0,0,2.78,0,0,0,13,0,0,0,0,0,102.34,0,0.73,0,2.25,0
 48-58,0,0.4,0,0,0,0,0.82,0.87,3.77,0,0.48,0,0.53,0,0,12.5,1.47,0,0.52,4.55,0,1.18,0,0,0,69.75,0,0.58,0,0.39,0
 60-70,0,0.89,0,0,0,0,0,5.67,33.02,0,0,0,0.58,0,0,0,0,0,0,5.26,0,0,0,0,0,65.58,0,0,0,0.9,0
 72-82,0,8.55,0,0,0,0,10.9,1.61,69.12,0,0.58,0,0,0,0,0,4.09,1.21,0,18.75,0,0.75,0.65,0,2.3,83.35,0,0,0,0.77,0
 84-94,0,12.09,1.59,0,0,2.83,1.32,3.62,109.54,0,0,0,7.79,0,0,2.63,0,0,1.27,8.28,0,0,0,0,2.77,123.52,0,0,0,0,0
 96-106,0,4.79,0.67,0.65,0,0,6.36,2.9,108.15,0,1.9,0,4.81,0,0,2.59,13.89,0,0,41.16,0,0,0,0,2.66,127.72,0,0,0,0,4.7
108-118,0,2.87,2.8,2.32,0,0.61,9.69,6.12,154.61,0,0.61,1.65,7.82,1.3,0,13.03,3.43,0,0.52,21.99,0,0,0,0,0,122.77,0,0,0.54,1.34,0
120,0,5.11,0,2.13,1.61,0,0,0,170.37,0,0,0,5.92,0,1.62,8.59,2.35,0,0,71.02,0,0,0,0,0,88.06,0,0,0,1.1,0
