stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,heart,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  3-4,13.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,0,0,0,0,0
 24-34,0,0,1.34,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,4.47
 36-46,0,0,1.47,0,0,0,0,0,2.32,4.9,0,2.69,0,0,0,0,1.34,0,0,3.28
 48-58,0,0,0.55,0,1.22,0,0,0,1.76,0,0,0.92,0,0,0,0.44,1.12,0,0,0
 60-70,0,0,0,0,0.72,0,0,0,9.24,0,4.28,2.03,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.68,0.64,0,0,1.81,22.19,2.87,1.6,5.42,0,0.59,0,0,0,0.67,0,0
 84-94,0,0,0,0,2.77,0,0.9,0,15.88,0,0,0.59,2.17,0,0,0,0,0,0.68,0
 96-106,0,0,7.87,0,0,0,0,0.75,53.94,0,1.33,2.84,0,0,0,0,0,2.83,1.02,0
108-118,0,2.63,0,0,0,2.59,0,0,63.01,0,2.89,7.84,0,0,0,0,0,0,1.48,1.86
120,0,0,0,0,0,0,0,0,32.42,0,7.51,5.29,0,0,0,0,0,8,14.71,0
