stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,xanthophores
  3-4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,8.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.45,0,0,0,0,0,0,0,0,0,0,0,0,0,7.41,7,0,11.23,0,0,0,0,0,0,0,0
 10-12,0,0,0,19.94,0,0,20.3,0,0,0,0,0,0,0,81.23,30.77,0,5.12,0,0,0,0,3.28,0,0,0
 14-21,0,0,0,0,1.9,0,0,0,0,0,0,2.79,0,0.84,9.67,0.92,0,0,0,0.9,0,1.03,7.13,0,0,0
 24-34,0,0,0,0,0.69,4.47,3.02,0,0,0,0,0,0,0,16.74,1.87,0.86,0,0.73,0,1.57,0,5.4,0,1.44,0.61
 36-46,0,0,0,0,12.32,0,0.64,0,0,0,0,0,0,0,9.13,0.79,0,0,0,0,0,0,1.64,0,0,0
 48-58,0,0,0,0,2.47,0,4.99,0,0,0.56,0,0.52,0,0,12.84,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,1.24,0,0,0,0,0,0,0,7.39,0,0,0,0,0,0,0,0.96,0,0,0
 72-82,0,0,0.49,0,0,0,23.56,1.69,0,2.26,0,0.86,0,0,5.46,0,1.07,0,0,0,0,0,0.54,0,0,0
 84-94,0,0,0,0,0,0,1.02,1.48,0,5.56,0,0,4.57,0,1.73,0,0,0,0,0,1.52,0,0,0,5.76,0
 96-106,0,0,0,0,0.76,0,0,2.22,0,0.56,0.65,0.86,0,0,2.04,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0.68,0.65,0.77,0,0,0,0.62,0,0,0,0,0,0,0,0,0.71,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31,0,0,0,0,0,0,0,0,0,0,0
