stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,168.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,84.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.19,0,0,0,0,0,0,0,0,7.27,0,0,0,0,7.57,0,0,21.62,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.96,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.88,0,0,2.28,0,0,20.16,0,1.02,0,0,1.01,20.27,0.9,19.6,0,0,0
 24-34,0,0,0,0,0.81,0,0,0,0,0,2.52,0,0,1.07,0,0,17.99,0,0,0,0,0.61,15.16,1.48,70.37,0,0,0
 36-46,0,0,0,0,0,0,1.38,0.68,0,0,1.4,0,0,1.08,0,3.44,15.46,0,0,0,0,0,24.57,0,137.39,0,0,0
 48-58,0,0,0,0,2.7,0,13.71,0.58,3.3,0,1.05,0,0,1.51,0,7.64,60.46,0,0,0,0,0,27.49,0,140.29,0,0,0
 60-70,0,0,0,0,0,0,10.21,11.86,0,0,3.19,0,0,1.83,2.57,4.47,29.33,0,0,0,0.82,0,8.08,0,176.95,0,0.63,0
 72-82,0,1.08,0,0,0,0,15.56,4.34,0,0,0.62,0,0.59,3.61,0,14.53,86.67,0,0,0,0,0,5.48,0,123.16,0,0,2.06
 84-94,0,0,0,0,0,0,1.69,5.86,0,0,3.63,0,0,4.19,0,1.79,62.77,1.86,0,0,2.03,0,8.51,0,147.55,0,0,0
 96-106,0,0,0,2.76,0,0,9.46,13.25,0,0,0,0,1.1,5.69,0,2.99,50.86,0,0,0,0.77,0,16.17,0,55.82,0.88,0,1.39
108-118,0,0.76,0,0,0,0.44,3.51,7.75,0,1.28,1.63,0,0,0.78,0,3.48,34.2,0,0,0,0,0.78,14.7,0,30.37,0,0,0
120,0,0,0,1.21,0,0,15.22,1.18,0,0,5.72,0,0,1.46,0,1.13,66.85,0,0,0,1.45,0,15.27,0,36.34,0,0,0
