stage,blastomeres,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,0,0,0,0,0,0,0
  5-6,34.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.67,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.73,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.99,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,11.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,0,0,0,0,10.55,0,4.07,0,0,0,0,0
 24-34,0,11.21,0,1.12,0,1.2,0,0,0,0,0,0,0,2.07,0,8.27,0,0,0,33.06,0,0,0,0,74.74,0.94,1.54,0,0,0,0,0
 36-46,0,3.75,0,19.38,0,0,0,0,0,0,0,0,0,0,0,1.81,0,0,0,57.21,1.27,0,0,0,45.96,0,2.52,0,0,0,0,1.45
 48-58,0,14.51,0,47.91,0,7.15,0,0.54,0,0,0,0,0,0.44,0,4.54,0,0.44,0,44.58,1.07,0,0,0,40.71,0.38,6.32,0,1.71,0,0,0
 60-70,0,6.74,0,724.31,0,0,0,1.16,0,0,0,0,0,0,0,1.46,2.63,5.37,1.74,47.14,0,0,0,0,59.43,0,3.11,0,8.35,0,13.82,0
 72-82,0,10.11,0,2708.59,0.75,4,3.44,26.67,0,0,0.49,2.13,0,0,0,13.11,1.9,6.35,3.58,152.74,1.83,3.02,0,1.4,40.9,0,10.11,0,5.7,1.51,22.26,0
 84-94,0,11.65,0,1578.36,0,1.11,0,45.07,0.84,0,0,1.28,0,0,0,9.79,2.12,1.7,4.98,97.03,0,0,0,0,102.91,0.7,8.46,0,11.13,0,55.66,0
 96-106,0,7.54,2.1,2382.74,0,1.76,0,30.12,1.25,5.42,0,2.72,0.81,0,8.78,5.51,0.65,0.93,4.21,107.27,0,0,0,1.92,139.63,0,2.67,0,10.19,1.25,74.62,0
108-118,0,37.13,3.04,1739.57,0,0,0,8.18,0.71,0,0.91,4.27,0,0,0,16.37,2.3,1.51,0,121.55,0.52,0,0,5.82,75.42,0,3.18,3.42,0,1.48,36.03,0
120,0,78.71,0,1034.83,11.48,0,0,25.51,0,0,0,0,0,1.88,0,59.98,0,34.96,0,200.12,0,5.34,0,0,104.28,1.12,10.85,0,0,4.78,159.27,0
