stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.81,385.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.98,252.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.84,0,0,0,0,8.81,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,12.5,0,29.67,0,0,0,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,64.14,0,0,0,137.16,7.47,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,11.68,0,0,0,4.79,0,0,0,0,0,0,0,0,0,0,0,0,0,88.71,0,0,0,81.88,3.81,0,0,0,0,9.66,0,0,0,0,0,0
 14-21,0,0,0,8.21,8.61,0,0,0.93,1.17,0,2.2,1.88,0,0,0.82,0,0,0,0.85,0,5.9,30.18,0.81,0,2.1,0,22.33,3.75,20.85,3.96,0,74.52,15.93,0,0,0,0,0
 24-34,0,0,0.66,0,1.23,0,0,5.93,0,4.44,0,1.3,1.22,0,2.22,0,0.63,0.95,4.7,0,17.66,66.85,0.95,3.13,1.28,0,54.51,0,0,0,0,17.83,25.96,0,0,0,0,0.91
 36-46,0,0,0,0,0.61,0,0,9.07,0,0,1.73,0.56,0,0,0,0,0,0,3.56,0,1.84,71.57,0,1.95,2.25,0,75.28,0,0,0,0,0,22.78,0,0,0,0,0
 48-58,0,0,0.49,0,2.73,0,0,28.48,0,1.43,10,0.43,0,0,0,0,1.27,0,2.93,0,3.8,116,0,4.47,0.64,0,51.2,0.84,0,0,0.95,0,18.42,0,0,7.2,0,0
 60-70,0,0,0,0,1.54,0,0,61.58,0,0,11.29,0,0,0,0,0.66,0,0,8.73,0,1.08,179.6,0,4.73,1.45,0,33.8,0,0,4.15,0,0,39.64,1.44,0,1.22,0,0
 72-82,0,0,0.5,0,2.33,6.05,0,167.1,3.46,5.76,19.48,0.56,0,0.59,2.62,4.27,0.81,0,4.64,2.74,2.41,259.43,0,4.22,1.04,0,20.06,0,0,0,0,0,28.6,1.63,1.26,7.47,0,0
 84-94,0,0,0.66,0,10.14,6.35,0,114.23,0,0,8.33,0,0,0.75,2.68,0,0,0,13.22,2.96,1.26,143.92,0,6.97,5.71,0,88.22,0,0,0,0,0,36.93,0,0,5.76,0,0
 96-106,0,0,1.41,0,11.78,11.01,0.98,204.7,0,0.81,27.9,4.11,0.92,0,2.45,0,1.28,0,18.78,0.69,4.42,157.56,0,23.65,10.58,0,66.83,0,0,0,0,0,10.16,5.9,0,0,0.74,0
108-118,0,0,2.46,0,11.13,1.34,0,222.58,0.76,3.83,51.32,3.64,0,0,4.01,1.57,2.93,0.42,15.72,0.53,3.14,293.01,0,11.23,7.39,0,57.71,0,0,0,0,0,30.95,2.12,0,5.24,0,0
120,0,0,0,0,31.7,10.12,0,199.78,3.37,8.97,36.46,2.51,0,3.21,5.41,0,2.11,0,9.7,0,0,445.34,0,33.85,6.25,0,65.9,0,0,0,1.64,0,15.8,2.39,0,0,0,0
