stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,11.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.74,18.69,0,12.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.22,12.53,0,0,6.35,0,0,7.7,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.63,11.32,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.31,0,16.26,0.82,0.84,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,1.76,28.45,0,0,0,0,0,0,0,0,0.94,0,21.12,0,0,0,0,0
 24-34,0,0,0.75,0,5.56,0,5.8,0,0,0,0,0,0.73,0,0,0,0,0,9.11,0,0,1.47,480.09,0.6,12.44,2.63,0,0,0.7,0,0,0,1.19,142.49,0,0,0,0,0
 36-46,0,0,2.33,0,1.54,0,3.69,0,0,7.06,0,0,0,0,0,0,0,0,3.91,0,0,0.87,1015.7,0.66,4.39,0,0,0,1.66,0,0,0,0,159.17,0,0,0,0,0
 48-58,0,0,0,0,6.31,0,53.94,0,3.19,17.34,0,7.27,0,0,0,0,0.43,3.49,8.09,0,0,2.74,1298.42,1.71,4.78,2.55,0,0,1.15,0,0,0.9,0,151.76,0,0.37,4.27,0,0.87
 60-70,0,0,0,0,0,0.79,153.39,0.79,1.59,25.32,2.58,0,0,0,2.55,0,0,0,38.44,1.27,0,0.92,2104.88,0,1.19,2.19,0,0,0,0,0,0,0,132.55,0,2.97,0,0,5.37
 72-82,0,0,0.54,0,11.11,0.59,297.61,0,2.55,49.3,0.85,0,0,0,2.18,0,0,8.68,41.16,0,9.16,1.05,2315.51,0,5.31,11.31,0,2.46,5.59,0,0,0,0,102.25,1.01,1.69,1.59,1.8,0
 84-94,0,0,2.64,0,12.59,0,297.76,0,15,50.19,0,0,0,1.56,4.02,0,0.83,0,45.94,6.09,1.04,0,1712.05,0,1.59,3.8,0,0,2.11,0,0,0,0,75.74,0,6.72,0,0,4.24
 96-106,0,0,6.27,0,7.53,0.85,393.13,0,0.99,24.02,0,0,0.94,0,3.46,0.65,10.33,0,34.17,0,0,0.83,1443.76,1.42,5.67,10.35,0,0,0.98,0,0.87,0,0,41.65,0,5.28,0,5.07,6.32
108-118,0,0,1.32,0,9.87,2.49,530.42,0,1.95,36.45,0,0,1.5,0.45,0,0,4.52,0,40.69,0,1.44,0.73,1885.91,0,6.85,11.08,0,0,1.2,0,0,0,0,55.72,4.34,2.1,1.07,2.01,0
120,0,0,0,0,15.95,5.16,427.45,0,10.43,30.2,0,4.47,3.53,0,0,0,1.5,0,24.26,0,0,1.68,2821.87,0,4.59,11.49,0,0,0,0,0,0,0,48.56,0,6.5,7.17,1.45,0
