stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,glial,hatching_gland,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,presomitic_mesoderm,pronephros,spinal_cord
  3-4,0,39.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.59,198.34,0,0,0,0,0,0,0,0,0,0,0,9.2,0,0,0
  7-9,3.32,18.5,7.68,0,0,0,23.71,0,5.46,0,0,188.94,5.39,40.34,0,0,0
 10-12,0,0,0,0,0,0,14.98,0,0,0,0,141.97,0,29.71,0,26.15,0
 14-21,0,0,0,1.39,1.21,0,1.17,0,0,1.68,0.95,17.2,0,0,1.33,0,1.79
 24-34,0,0,0,0,0,0,0,0,0,2.38,0.77,10.31,0,0,0,0,2.71
 36-46,0,0,0,0,0,0,0,0,0,0,0,2.21,0,0,0,0,0
 48-58,0,0,0,0,0,0,1.26,0,0,0,0.71,2.01,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,1.79,0,3.27,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,2.1,0,0,0,1.26,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,1.36,1.47,0,0,0,0,0
108-118,0,0,0,0,0,1.11,0,0.66,0,1.48,0,1.09,0,0,0,0,0
