stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,17.84,123.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.26,558.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.16,0,0,0,0,0,8.78,0,0,0,0,0,0,0,0,0,0
  7-9,37.28,28.25,14.66,0,0,40,0,0,0,0,0,3.57,0,0,0,0,0,0,0,0,0,0,0,394.11,13.64,0,0,80.83,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,14.2,46.35,0,0,22.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1582.11,74.01,0,0,170.76,0,0,0,16.45,0,0,5.09,0,0,0,0,0
 14-21,2.31,0,13.06,3734.96,77.16,84.76,0,38.11,0,31.53,12.6,4.75,7.57,0,29.31,6.18,1.11,0,7.74,244.6,10.28,0,190.17,627.48,1474.82,2.61,20.57,41.16,0,10.54,76.46,15.78,16.86,84.91,474.85,0,0,109,0,8.2
 24-34,4.02,0.83,1.32,1170.69,11.27,181.06,0,137.63,20.91,90.66,1.46,0,33.29,0,0.62,10.5,7.83,8.61,6.16,543.89,15.22,2.43,235.24,494.75,315.5,9.61,46.41,0,0.99,8.28,0.95,27.61,2.19,19.96,394.62,0,0,506.17,0,28.9
 36-46,16.91,0,0.56,374.06,30.87,117.05,2.44,88.96,57.53,122.33,0.68,0,39.88,0,0,12.75,3.87,2.69,13.37,568.51,0,7.61,146.92,278.58,145.36,6.32,30.57,0,1.69,45.79,7.92,6.06,0,0.84,258.71,0,1.87,315.96,1.55,67.97
 48-58,0,0,0.43,277.09,0,139.82,1.02,72.39,82.45,164.85,1.96,0,13.69,0,0.4,33.25,6.17,3.98,14.09,868.69,1.6,31.86,126.21,348.73,83.47,6.6,28.14,0,3.16,26.41,0,16.53,1.78,0,299.3,0,3.46,282.75,0.97,37.71
 60-70,0,0,0,198.27,0,111.61,1.87,74.99,57.46,226.64,12.01,0,5.05,4.08,6.34,30.64,4.16,13.06,15.19,852.91,1.09,54.96,34.21,136.39,46.99,2.72,38.57,0,15.16,0,0,4.65,0,0,107.06,0,17.25,147.24,6.51,10.99
 72-82,0,0,4.61,108.45,0,98.76,0,30.64,65.75,189,7.77,0,7.33,0,1.59,36.39,5.06,4.72,8.94,860.21,1.27,57.76,51.52,130.8,23.51,5.55,39.07,0,26.19,1.41,0,8.7,0,0,21.85,0.62,23.14,295.45,22.99,7.4
 84-94,0,0,0,161.75,2.86,127.04,2.65,38.98,62.62,137.08,25.06,0,5.53,1.41,12.68,41.38,2.43,5.12,16.38,637.95,0,62.45,48.5,97.68,16.35,7.59,40.06,0,7.87,12.74,0,4.03,0,0,35.46,1.16,22.21,288.65,39.92,6.18
 96-106,0,0,0,140.91,11.82,112.92,0,27.54,13.6,123.76,15.5,0,1.6,0.69,12.08,30.81,10.09,2.29,5.36,357.48,5.66,34.49,20.72,87.6,3.43,10.18,26.83,0,26.01,4.13,0,4.39,0,0,9.42,8.29,7.96,255.96,14.5,8.31
108-118,0,0,0,162.74,2.04,93.53,0,63.04,28.65,82.62,27.23,0,6.23,0.88,18.43,88.81,5.92,2.36,10.43,304.8,3.51,19.33,30.76,91.72,5.96,5.29,14.04,0,28.34,0.71,0,3.35,0.57,0,2.75,0.93,14.12,167.72,13.55,13.67
120,2.23,0,0,143.48,1.93,82.85,0,54.83,15.49,192.98,2.47,0,3.84,0,17.57,20.29,17.8,1.84,9.24,320.93,0,18.04,38.46,84.99,1.45,10.83,12.11,0,27.41,0,0,1.58,0,0,0,0,17.86,163.09,10.75,12.53
