stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.56,203.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.63,508.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.45,27.67,0,0,7.98,0,0,0,0,0,0,0,0,0,0,0
  7-9,25.93,4.71,0,19.14,0,0,0,57.07,0,0,0,0,3.42,0,0,0,0,0,0,0,0,0,0,0,453.51,6.18,0,0,42.54,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,23.12,0,0,0,51.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192.62,25.84,0,0,49.5,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,11.47,0.86,0,3.06,0,0,0,0,0,0,0,0.86,0,0,0,0,3.73,0,0,2.88,81.25,0.89,0,0,2.04,0,0,24.46,0.97,0,4.49,16.14,0,0,0,0
 24-34,0,0,0,0,4.05,0,0,13.73,1.25,0,2.21,0.66,0,0,0,0.62,0,0,0,0,16.13,0,0,3.34,89.69,0.63,0,0,0,0,3.64,0,0,1.16,0,21.61,0,2.29,0,0
 36-46,0,0,0,0,0.63,0,0,29.12,0,0.74,15.78,0,0,0,0,0.91,0,0,0,0,17.88,0,0,2.06,85.2,0.72,0,0.81,0,0,14.54,0,1.31,0,0,10.87,0,0,0,0
 48-58,0,0,0,0,0.44,0,0,7.47,6.7,0.84,5.9,0.41,0,0,0,0,3.43,0,0,0,20.05,0,0,7.92,63.56,8.51,0,0,0,0,9.71,0,0,0,0,9.4,0,6.44,0,0
 60-70,0,0,0,0,0,0,0,19.17,0,0,7.66,0,0,1.64,0,0,0.64,0,0,0,24.7,0,0,4.17,37.26,0,0,6.34,0,0,0.83,0,0,0,0,4.82,0,0.75,0,0
 72-82,0,0,0.5,0,0,0.67,3.14,19.43,0.73,0,14.15,0,0,0,0.68,0,0,0,0,0,29.49,0,0.81,1.18,20.61,0,0,2.71,0,1.67,0.51,0,0,0,0,13.25,3.57,1.57,0,2.63
 84-94,0,0,0,0,1.59,1.45,0,4.08,0,0.77,2.49,0.62,0,0,0.7,0,0.75,0,0,0,48,2.12,2.28,4.08,21.21,1.14,0,4.57,0,0,5.66,0,1.27,0.62,0,1.28,0,5.38,1.59,0
 96-106,0,0,0,0,1.79,0,0,6.87,1.39,0,16.56,1.39,0,0,0,0,0,0.92,0.77,0,30.79,0,3.77,1.96,32.72,0,2.23,2.7,0,3.28,2.8,0,0,0,0,0.87,0,0,0,4.18
108-118,0,0,0.71,0.74,5.08,0,0,7.16,0,0.71,9.41,0,0,0,4.65,0,0.53,0,0.81,1.61,23.16,0.96,0,1.12,30.42,0,0.45,6.73,0,0,12.36,0,0,0,0,0,0,3.36,0,0.63
120,1.12,0,0,0,5.63,0,0,6.91,1.16,0,7.94,0,0,0,1.69,0,2.63,0,0,0,21.59,0,0,1.59,81.84,0,0,1.1,0,0,6.58,0,0,0,0,0,0,27.24,0,1.16
