stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,21.51,81.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.36,84.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.77,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,70.9,0,0,0,0,0,0,0,158.58,0,0,0,36.46,0,0,0,0,0,0
 10-12,0,25,42.82,0,0,21.8,0,0,0,0,0,582.17,0,0,0,0,46.38,0,0,456.66,7.35,0,0,89.95,4.46,3.11,0,0,0,0
 14-21,0,0,1.04,0.97,0.92,0,0,0,0,0,2.55,0,0,1.08,0,0,862.97,1.14,0,7.18,8.58,0,4.78,0,0,11.56,9.69,0,0,0
 24-34,0,0,0,0,1.22,6.47,0,0,0,0,0,0,0,0,0,0,365.4,1.75,1.55,20.45,0,1.41,8.86,0,0,1.42,4.8,0,0,4.21
 36-46,0,0,0,0,0,14.72,0,0,0.62,0,0,0,0,0,0,0,97.74,2.75,0,0.75,0,0,0,0,0,0,1.7,0,0,0
 48-58,0,0,0,0,0,6.57,0.83,0,0.55,0,0,0,0,0,0,0,19.58,4.49,0,1.86,0,0.87,0,0,0.53,0,0.58,0,0,0
 60-70,0,0,0,0,0,5.72,0,0,0,0,0,0,0,0,0,0,3.31,3.01,0,11.02,1.04,1.73,0,0,5.03,0,0,0,0,0
 72-82,0,0,0,0,0,4.15,0,0,0.91,0,0,0,0,1.06,0,0,7,0,0,1.27,0,0,0,0,1.94,0,0,0,0.9,0.53
 84-94,0,0,0,0,0,0,0,0,0,0,0.64,0,0,5.22,1.28,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0
 96-106,0,0,0,3.34,0,0.73,0,0.59,0,0,0.93,0,1.8,0,0,0,0,0,0,12.2,0,1.63,1.55,0,2.92,0,1.02,0,0,0
108-118,0,0,0,4.6,0,0,1.51,0.69,2.54,1.23,6.45,0,0.44,0,0,2.27,0,0,0.71,13.9,0,1.28,0.45,0,0,0,0,0,0,0
120,0,0,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,7.81,0,1.38,0,10.22,0,0,0,0,0,0,0,1.26
