stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,otic,pericytes,periderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0.8,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,24.03,0,0,0.62,0,0.77,10.29,0,0,0,0,0
 36-46,0.6,0,0,1.18,0,0,0,0.68,0,0,0,0,0,0,1.51,87.86,0,0,0,0,0,7.92,0,0,0.67,0,0
 48-58,4.43,0,0,11.73,0.48,0,0.63,4.49,0,0,0,0,7.57,0,1.03,275.77,1.14,0,4.7,0,0,23.96,0,0,8.16,0,0
 60-70,9.25,0,0,29.67,0,3.53,0,2.9,0,0,0,0,2.96,0.62,0.77,483.64,4.16,7.62,0,0,0,61.02,1.22,0,0.84,0,0
 72-82,0,0.53,0,50.86,0,0,0,14.02,0,0,0,0,9.71,0,3.43,564.26,0.61,0,1.29,0.77,0,50.1,0,0.61,0,0,3.22
 84-94,1.69,0.79,0,27.28,0,0,0,8.22,0.64,0,0.66,5.87,12.41,0,1.64,353.73,1.1,0,0,0,0,16.36,0,0,3.55,0,0
 96-106,0.73,17.69,1.76,16.12,3.61,0,0,6.98,0,0.63,0,9.06,14.83,0,1.33,295.76,4.42,0,0,0,0,11.16,0,0,0,0.91,0
108-118,2.37,3.98,0,20.52,0,0,0,11.02,0.54,0,0,0,15.29,0,0,325.7,9.12,0,0,0.61,0,2.99,0,0,1.07,0,0
120,4.85,0,0,97.05,0,0,0,20.56,0,0,0,0,27.16,0,2.49,570.42,11.33,0,0,0,0,33.14,0,0,0,0,0
