stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,mesenchyme,muscle,neural,periderm,spinal_cord
  3-4,10.75,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,48.51,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,14.8,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,7.3,0,0
 14-21,0,0.84,0,0,0,0,0,0,0,0,1.17,1.67,0
 24-34,0,0,0,0,0,0,0,0,0,0.65,10.78,0,0.84
 36-46,0,0,0,0,0,0.85,0,0,1.92,0,7.4,0,0
 48-58,0,0,1.98,0,0,8.18,0,0,0,0,1.72,0,0
 60-70,0,0,1.74,4.82,1.28,0,1.06,0,0.67,0,7.49,0,0
 72-82,0,0,0.62,0,0,0,0,0,0,0,3.52,0,0
 96-106,0,0,0,0,0,0,0,0.61,0,0,0,1.28,0
108-118,0,0.71,1.75,0,0,0.54,0,0,0,0,2.24,0,0
120,0,0,0,0,0,0,0,0,0,0,11.85,0,0
