stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,14.72,12.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.73,0,0,4.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.52,0,0,12.45,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,5.88,0,0,0,0,0,3.05,0,0,0,0,0,0,0,0,0,0,4.93,0,0,0,16.3,0,0,0,0,0,7.77,0,0,0,0,0,0
 14-21,0,0,1.38,0.84,1.54,0,2.2,0,0,0,0,0,0,0,0,0,0,29.99,0,0,0,0,4.51,38.6,0,1.74,0,0,0,0,0,0,7.61,14.65,55.41,0,0,0.89,0,0
 24-34,0,0,1.93,0,4.22,0,5.68,0,0,0,0,0,0,0,0,0,0.68,27.31,0.84,12.49,0,0,5.47,596.54,0,19.71,23.61,0,0,0.61,0,0,0.65,0.89,471.54,0,0,1.2,0,9.77
 36-46,0,0,5.22,0,1.86,0,52.93,0,0,0,3.02,0,0,6.4,0,0,0,18.12,0,8.57,0,0,1.8,1415.09,0,35.71,35.7,0,0,6.54,0,0,0,0,508.14,0,0,1.03,0,0
 48-58,0,0,0,0,8.33,0,198.08,1.48,0,0,10.18,0,0,0.85,0,0,1.62,13.39,0.95,12.21,0,0,3.35,1767.08,0,21.35,24.4,0,0,8.28,0,0,0,0,281.38,0,0,2.71,0,5.58
 60-70,0,0,0,0,7.28,0,1071.83,1.17,0,0,21.62,0,0,3.06,0,0,11.2,12.35,0,10.13,0,0,0.91,2660,0,18.2,27.45,0,0,2.54,0,1.35,0,0,343.85,0.81,0,1.59,0,6.25
 72-82,0,0,0.81,0,29.4,5.21,1783.65,0,0,9.09,60.58,2.01,0,1.34,0,2.96,3.93,10.07,0,38.39,0,2.6,0.61,2721.28,0,32.78,34.98,0,2.26,4.47,1.65,0,0,0,221.3,0,2.28,2.08,2.55,0
 84-94,0,0,0.73,0,18.8,0,1873.03,0,1.15,0,64.18,2.95,0,3.08,0,2.77,1.74,0,0,35.85,0,0,0,2307.3,2.36,24.36,39.89,0,0,6.18,0,0,0,0,146.32,0,1.76,0,0.77,3.19
 96-106,0,0,1.76,0,17.31,0.8,2267.28,0.93,0.64,0,97.17,2.11,0,5.77,0.74,0,8.34,44.59,0.68,13.72,2.53,0.62,3.26,2165.33,0,56.63,54.94,0,0,24.79,0,0,0,0,84.1,0,0,0.71,0.93,0
108-118,0,0,4.84,0,13.36,6.78,2014.18,1.3,0,1.3,117.46,3.13,0,1.54,1.7,0,6.35,7.04,0,44.37,1.66,0,3.49,2392.86,0.46,38.62,22.37,0,0,6.08,0,0,0,0,66.84,6.2,4.23,7.45,0.49,1.4
120,0,0,0,0,30.81,13.45,1581.79,4.58,10.7,10.02,139.62,1.2,0,4.61,1.72,0,9.81,0,0,38.14,6.27,0,0,3548.9,1.77,80.26,44.39,0,0,4.78,0,1.13,0,0,116.71,0,0,0,0,0
