stage,epidermis,eye,fin.epithelia,glial,gut,immune,ionocyte,mesenchyme,neural,olfactory,periderm,spinal.cord
  7-9,0,0,0,0,0,0,0,0,7.83,0,0,0
 24-34,4.11,0,0,0,0,0,0,0,0,1.06,8.96,0
 36-46,1.52,0,0,0,0,0,0,0.93,2.1,0,5.22,0
 48-58,0,0,0,0,0,0,0,0,2.57,0,1.8,0
 60-70,0,0,0,0,0,0,0,0.81,0,0,0.83,0
 72-82,0,1.93,0,0.52,0.7,0,0,0,2.05,0,3.41,1.35
 84-94,0.74,0,0,0,0,0,2.24,0,3.09,0,6.62,0
 96-106,4.52,0,0,0,0,0,0,0,2.13,0,8.75,0
108-118,1.62,0,0.99,0,0,0,0,0,0,0,6.83,0
120,0,0,0,0,0,1.06,0,0,0,0,7.96,0
