stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,lateral.line,mesenchyme,mucous,muscle,neural,notochord,otic,pericytes,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,19.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,4.69,0.94,0,0,0,0,0,0,0,0,0,0,0.87,0.84,0,0,0,0,0.83,0.81,0,3.01
 24-34,0,5,0,0.61,0,0,0,0,0,0,0,1.33,0.69,0.83,4.74,0.61,0,0,3.71,0,0.9,0,0
 36-46,0,0,0,0.72,0,0,0,0,0,0,0,0.94,0,0,32.08,0,0,0,0.74,0,1.31,0,3.18
 48-58,0,2.45,0,0,0,0,0,0,0,0,0.47,0,0,1.76,45.25,0,0,0,0.47,0,6.03,0,0
 60-70,0,0,0,8.85,0,0,0,0,0,0,0,5.16,0,0,40.96,0,0,0.66,2.76,0,0,0,0
 72-82,0,5.89,0,7.01,0.72,0.69,0,0.59,0,0,0,5.87,0,1.71,29.17,0,0.59,0,0,0,6.7,1.14,0
 84-94,0,0,0,10.65,1.79,0,0,2.87,0,0,0,0,0,0,18.6,0,0,0,1.52,0,2.87,0,0
 96-106,0,2.16,8.03,4.87,1,0,0,0,2.94,2.57,0,7.85,0,0,12.24,0,1.63,0,3.05,0,4.85,0,0
108-118,0,1.65,1.36,9.15,1.69,0,0,0,0,0.91,0,6.91,0,0,10.38,0,0,0,0,0,0,0,1.88
120,0,0,0,4.65,3.34,0,3.65,0,0,0,0,11.11,0,0,9.78,0,0,0,0,0,0,0,0
