stage,mesenchyme,muscle,neural,notochord,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,4.75,0,0,0,0,0,0
 14-21,0,0,0,1.15,0,0,0,0,0
 24-34,0,0,0,0.67,0,0,1.54,0,0
 36-46,3.49,4.05,0,1.37,0.86,0,0,0,0
 48-58,7.34,0.9,0,0.49,0,0.89,0.63,0,0
 60-70,10.01,0,0,0,0,0.9,0,0,0
 72-82,22.67,0,0,0,0,0.63,0,0,0
 84-94,15.13,2.58,0,0,1.73,1.21,0,1.09,0
 96-106,22.88,0,0,2.67,0,2.07,0,1.53,0
108-118,22.07,0,0.64,4.28,1.26,1.53,0,4.02,2.01
120,0,0,0,6.89,0,0,0,0,0
