stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,38.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,58.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.01,0,0,0,0,0,0,0,0,0,0
  7-9,8.35,12.75,0,3.64,0,0,0,34.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.57,16.78,0,0,57.68,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.73,0,14.47,0,0,0,11.43,0,0,0,0,3.42,0,0,0,0,0,0,0,0,0,0,55.73,3.16,0,0,95.89,0,0,0,6.93,0,0,0,0,0,0,0,0
 14-21,0,0,1.32,2.11,10.89,1.09,0,5.4,0,0,1.32,1.03,0,0,0,0,0,0,0,4.21,0,0,6.26,67.38,0.9,0,0,2.34,0,0.96,29.14,1.76,8.59,18.29,33.21,0,0,0,0,0
 24-34,0,0,0,0,1.81,0,0,13.99,0,0,1.27,0,0,0,0.6,0,0,0,0,3.28,0,0,5.6,68.63,0,0,0.69,0,0,0.72,0,0.65,0,0.69,21.48,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,11.33,0,0,2.07,0,0,0,0,0,0,0,0,7.8,0,0,3.3,28.77,0,3.38,0.78,0,0,0.77,0,0,0,0,18.05,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,10.8,0,1.59,1.54,0,1.19,0,0,0,0,0,0,4.59,0,0,0.83,33.63,0,5.42,0,0,0,0.4,0,0,0,0,11.69,0,0,2.5,0,0.82
 60-70,0,0,0,0,1.95,0,0,22.52,0.9,1.38,6.66,0,1.21,0,0,0,2.76,0.7,0,11.61,0,0,1.99,21.53,0,1.08,0,0,0,0,0,6.99,0,0,11.49,0,0.63,0,0,0
 72-82,0,0,0.88,0,0.9,19.49,0,25.27,0.5,6.78,16.39,1.14,0.51,1.5,0.5,0,0,3.72,0,18.29,5.39,1.81,1.81,38.88,0,0.88,0.61,0,0.71,0,0,0,0,0,4.9,0,0,0.57,0,0
 84-94,0,0,0,1,0,18.14,0,27.26,3.44,1.59,17.01,4.15,5.21,1.02,3.14,0,2.34,2.08,0,10.63,1.42,1.13,1.56,19.65,0.57,0.71,0,0,0,0.58,0,0,0,0,21.85,0,0,1.63,0,0
 96-106,0,0,0,0,4.35,29.91,0,63.63,0.81,0,22.63,0,0,0,9.02,2.43,0,5.77,0,26.35,0,0,2.04,65.37,0.96,12.12,0,0,0,0.58,0,0.59,4.11,0,4.89,0,1.15,10.41,0.59,2.54
108-118,0,0,0.77,0,0.91,15.06,6.49,94.53,4.72,2.22,24.02,4.76,0,0,5.61,1.54,2.17,1.95,0.53,36.1,0,2.3,1.66,42.58,0,6.83,3.84,0,0.76,1.68,0,0,0.55,0,6.32,1.32,0,9.99,1.65,0.74
120,0,0,0,0,3.3,21.52,0,54.42,1.04,1.67,27.96,1.54,0,1.61,6.79,0,0,1.11,0,43,0,0,0,59.34,0,10.52,7.32,0,0,3.69,0,0,0,0,0,0,0,4.62,2.27,0
