stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,13.45,205.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.12,0,0,0,0,0,0,0
  5-6,25.41,389.94,0,12.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.3,8.7,0,0,26.25,0,44.57,0,0,0,0,0,0,0
  7-9,6.67,12.5,0,59.36,0,0,5.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.66,35.69,0,0,217.43,0,0,0,0,0,0,0,0,0
 10-12,0,8.15,0,9.3,0,0,5.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.3,0,0,0,0,0,0,4.37,0,0,0,0,0,0
 14-21,0,0,0,0,11.99,1.24,0,0,0,0,0,0,0,0,34.56,0,0,0,0,1.21,5,0,0,23.26,0,1.22,0,0,0,1.88,0,0,0,3.46,0,0,0
 24-34,0,0,0,0,19.34,0,2.28,0,1.45,0,0.84,0,1.52,0.6,47.95,0,0,5.93,0,1.76,20.87,0,0.71,74.91,0,2.51,3,0,0,0,0,1.56,1.37,20.58,0,0.6,0
 36-46,0,0,0,0,15.89,0,0.9,0,2.8,0,3.75,0,0,0,16.41,0,0,0,0,2.17,0,0,0,52.5,2.62,4.03,1.37,0,0,1.79,0,0,0,6.08,0,0,0
 48-58,0,0,0,0,44.3,0,3.8,0,3.81,1.28,0,1.9,0,0,28.97,0,0.73,0,0,2.72,2.63,0,0.85,43.71,0,4.26,4.98,0,0,0.69,0,0,0,2.31,0,0,0
 60-70,0,0,1.54,0,54.64,0,8.51,0,6.73,0.84,0.69,37.93,0,1.65,22.16,0,0.85,0,0,3.2,1.92,0,1.77,65.96,0,2.02,0,0,0,14.41,0,0,0,0.77,2.44,3.4,0
 72-82,0,0,4.69,0,39.25,0,22.62,0,4.08,0,4.85,20.11,0,3.71,23.84,3.11,0.92,0,0,3.67,6.4,5.56,1.2,44.8,0,2.52,1.68,0,2.17,0,1.65,0,0,1.01,13.63,0,0
 84-94,0.62,0,3.12,0,51.19,0.72,12.9,0,3.75,0,10.03,44.45,0,8.26,35.65,0.65,1.36,0,0,4.47,0.59,0,0,32.38,0,2.91,1.25,0,0,0.6,0,1.09,0,0,37.21,0.95,0
 96-106,0,0,2.35,0,51.07,0,6.7,0,0.62,0,1.4,28.81,0,24.18,27.55,0,5.36,0,0.65,1.85,7.97,0,0,28.45,0,7.12,2.2,0,0,3.16,0,0,0,0,17.85,0,0
108-118,0,0,2.87,0,57.85,0,5.46,0.67,13.74,0,2.46,30.52,0,24.11,42.36,0,2.9,4.66,0,3.28,3.96,0.98,0,33.13,0,9.3,4.68,0,0.86,0.42,0,0.72,0,0,17.24,0,3.93
120,0,0,0,0,54.08,0,0,0,1.35,0,0,17.12,0,43.51,14.69,0,6.32,0,0,3.03,0,0,0,58.65,0,1.31,2.74,0,0,0,0,0,0,1.64,3.81,0,0
