stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,17.22,147.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,201.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.89,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.9,5.05,0,0,14.38,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,5.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.41,0,0,0,23.5,0,0,12.5,0,0,0,0,0,0
 14-21,0,0,1.66,4.71,0.9,0,0,0,0.96,0,0,0,0,0,0,0,1.98,0,0,0,17.02,0.86,0.86,0,0,0,0,0,0,3.13,8.31,3.98,0,0
 24-34,0,0,2.26,0,2.92,0.96,0,0,0,0,2.56,0,0.7,0.63,0,0,7.3,0,0,2.69,43.21,0.6,0,0,0,0,0,0,0,1.27,18.58,27.61,0,0
 36-46,0,0,0,0,12.12,0,0,0,0.71,0,1.77,1.03,0,0,0,0,19.85,0,0,1.49,44.58,0.65,0,0,0,0,0,0,0,0,18.25,24.41,0,0
 48-58,0,0,0,0,16.59,0,0,0,13.67,0,0.6,0.76,0,0,7.28,0,15.04,0,0,1.73,48.6,0,0,0.47,0,0,0,0,7.15,0,20.48,21.29,0,0
 60-70,0,0,0,0,10.04,0,0,0,8.12,0,0.6,4.72,0,0,0,0,24.97,0,0,0,59.87,0,0,0.65,0,0,0,0,1.39,0,11.89,27,0,0
 72-82,0,0,0,0,17.37,2.49,0,2.82,17.49,0,0,0,0,1.06,0,0,27.69,0.94,0,9.71,53.79,0,0,0,0,1.31,0,1,0,0,11.14,18.93,0.57,0
 84-94,0,0,2.3,0,16.37,0,0,0,10.7,2.46,0,1.54,0,0,0,0,21.13,0,0,0.7,29.28,0,0,0,0,0,2.36,0,0,0,6.53,13.47,0,0.62
 96-106,0,0,2.5,0,7.03,0,0,3.04,23.37,0,0,0.74,0,0.75,0,0,45.53,0,0,2.48,54.45,0.66,0,0.71,0,0,0,0,0.7,0,1.07,23.98,0,0
108-118,0,0,1.24,0,7.07,0,0.47,0,20.6,0,1.61,2.13,0,0,0,1.75,47.65,0,1.27,0,73.49,0,0,1.04,0,0,0,0,0,0,0,12.55,3.34,0.91
120,0,0,1.84,0,16.31,0,0,0,16.62,0,0,7.93,0,0,0,0,32.56,0,12.42,2.4,74.55,0,0,1.66,0,0,3.8,0,0,0,7.24,22.01,0,0
