stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,44.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.84,0,0,0,8.73,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,9.24,0,0,0,3.53,0,0,0,0,0,0,0,0,0,51.39,12.46,0,0,7.22,0,0,0,0,0,0,0,0
 14-21,0,0,5.36,3.18,1.1,0,0,0,0,0,0,0,0,0,0,2.54,0,0,20.46,0.82,0,0,0.85,0,3.43,0.89,5.41,0,0,0,0
 24-34,0,0.62,1.15,0,0.82,0,0,0,0,0,0,0,0,0,0,2.43,0,7.59,32.89,2.4,0,0,0,1.62,0,0.69,6.46,0,1.24,0,0
 36-46,0,0,7.34,0,5.62,0,0.62,0.9,0,0,0,0,0,0,0,5.26,0,0.6,27.54,0,0,0.61,0,44.81,2.14,0,4.24,1.04,0,0,0
 48-58,0,0,8.62,0,20.12,1.55,1.19,0.66,0,8.58,0,0,0,0,0.86,3.54,0,0.92,5.96,0,0,0,0,2.03,0,0,3.06,0,0.47,0,5.03
 60-70,0,0,2.15,0,6.73,7.51,0,1.12,0,0,0,0,0,0,0,0.88,0,0,10.95,0,0,1.49,0,3.2,0,0,0.68,0,0,0,0
 72-82,0,0,0.51,0.65,2.92,0,0.81,3.45,0,0,0,0,1.43,0,0,5.69,0,1.86,8.81,0,0.71,0,0,3.11,0,0,0,0,0.77,0,1.97
 84-94,0,0,0.58,0,2.57,0,0,0,0.76,0,0.68,0,0,0.67,0,5.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.4,0,0,0,0,0,0,0,0,1.03,0,0,6.45,3.77,0,0,0,0,0.59,0,0,0,0,0,0,0,0,0,3.94
108-118,0,0,0.43,0.57,1.87,0,0,0,0,0,0,0,0,0.52,0,6.95,0,0.55,5.42,0,0,2.47,0,0.93,0,0,0,0,0,1.7,3.15
120,0,0,2.88,0,14.19,0,0,0,0,0,0,0,0,0,0,0,5.78,0,3.52,0,0,0,0,4.66,0,0,0,0,0,0,0
