stage,axial,blastomeres,endocrine_pancreas,eye,glial,hatching_gland,heart,lateral_line,mesenchyme,mural_cell,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord
  3-4,0,35.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.67,0,0,0,0,5.14,0,0,0,0,11.37,0,0,5.25,0,0,0
 10-12,0,6.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,7.11
 24-34,0,0,0,0,1.83,0,0,0,0,0.81,14.05,0,0,0,0,0.64,14.52
 36-46,0,0,0,0,0,0,0.93,0,0,0,5.14,1.88,0,0,0,2.13,7.11
 48-58,0,0,0,1.41,1.5,0,0,0,0.65,0,1.62,0,0,0,0,0,2.91
 60-70,0,0,0,0,5.6,0,0,0,0,0,2.05,0,0.62,0,1.72,0,3.52
 72-82,0,0,0,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0.56
 84-94,0,0,0,0.75,2.01,0,0,0,0,0,0,13.09,0,0,0,0,0
 96-106,0,0,1.28,0,0,0,0,0,0,0,0.72,4.49,0,0,0,0,0
108-118,0,0,0,0,5.35,0,0,0,0,0,0,0,3.71,0,0,0,0
120,0,0,0,0,0,0,0,3.66,1.17,0,4.7,0,0,0,0,0,0
