stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0.86,16.74,4.71,4.35,0,0.87,0,5.49,1.93,0,0,0,0,0,0,5.95,0,9.22,71.7,0,0,2.07,0,4.6,0.84,0,1.89,48.79,0,0,0,0
 24-34,0,8.16,0,24.47,0,1.37,0,19.88,0.67,0,0,0.63,0,5.9,1.19,58.97,0,25.81,225.44,0,1.41,8.85,0.99,12.28,0,0,0.61,49.17,0,0,10.81,0
 36-46,0,7.02,0,33.48,0,0,0.62,22.66,0,0,0,0.74,8.43,1.84,0.7,84.95,2.76,12.09,190.32,0,2.27,9.72,0,43.49,0,0.94,0,53.43,0,0,4.88,0
 48-58,0,3.77,0,21.2,3.06,0,0,38.94,0,0,0,0,0,0.59,0,68.82,0,16.44,63.83,0,1.37,15.55,0,33.2,0,0.37,0,29.92,0,0.49,9.29,0
 60-70,0,1.98,0,68.28,0,0,0,50.82,1.45,0,0,0,0,3.05,0,101.43,0,4.71,53.25,0.66,2.22,1.31,1.22,20.71,0,0,0,24.7,0.61,0,0,2.72
 72-82,0,9.9,0,18.88,0,0,0,46.08,1.21,2.04,0,0,0.75,1.24,0,122.67,4.31,4.45,17.96,0,1.49,8.16,0.72,16.47,0,0,0,9.71,1.24,2.94,14.97,1.65
 84-94,0,6.74,1.04,18.61,0,2.33,0,37.95,0,0,0,1.17,0,2.8,4.65,72.81,1.68,6.79,52.33,0,5.85,8.14,0.79,47.14,0,1.04,0,5.02,7.17,0,7.12,3.2
 96-106,0,5.28,0,13.7,0,1,0,32.43,1.19,0,0,0,0,1.36,9.19,63.65,6.28,0,38,0.57,4,11.22,0,27.85,0,0,0,4.67,3.74,3.24,6,3.39
108-118,0,3.36,0,13.3,0,1.25,2.95,39.5,4.17,0,0.42,6.85,0,2.94,0.66,61.08,9.74,0.93,25.95,0.43,0.97,13.69,1.22,25.26,0,0.53,0,8.22,3.6,0.89,6.1,4.34
120,0,16.34,1.56,18.7,0,0,1.6,59.43,1.69,3.83,0,0,0,0,0,93.5,1.38,1.26,13.91,0,2.63,4.36,13.5,18.7,0,0,0,0,1.37,0,7.77,5.84
