stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.09,87.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,54.12,127.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.56,0,0,0,6.69,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,19.64,0,0,0,0,0,0,0,0,0,0,0,5.47,0,0,0,4.23,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.65,0,0,0,12.31,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.27,0,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.04,0,0,0,0,0,2.08,3.41,0,0,55.35,0,0,0,0,0
 24-34,0,0,0,0.63,0,0,7.99,0,0,0,0,0.89,0,0,0,0,0,0,0,0,0.63,0,0,0.87,300.68,0,0,0,0,0,0,0,0,0,104.46,0,0,0,0,0
 36-46,0,0,0,3.77,0,0,253.97,0,0,0,6.92,0,0,0,0,0,0,0,0,6.22,0,0,0,0,1550.59,0,0.63,0,0,0,5.56,0,0,0,194.43,0,0,0.68,0,0
 48-58,0,0,0,30.86,3.42,0,1330.65,0,2.05,0,32.19,0,0,0,5.04,0,0.5,0,0,1.2,8.64,0.53,4.89,3.47,3744.1,0,1.48,0.39,0,0,3.96,0,0,0,409.7,0,0,1.34,0,14.45
 60-70,0,0,0,6.77,0,0,2365.26,0,0.59,2.86,22.46,0,0,0,2.44,0,0,0,0,6.25,60.54,0,2.56,0.59,6648.98,0,0,6.8,0,0,12.21,0,0,0,434.81,0,0,3.63,0,1.29
 72-82,0,0,0.81,25.29,2.39,0,2181.33,0,0,5.83,45.84,0.51,0,0,10.91,1.79,7.78,3.1,0.5,0,71.95,0.77,0,3.97,4898.88,2.6,1.21,2.81,0,1.77,10.19,0,4.56,0.53,223.62,0,1.86,7.94,2.27,22.32
 84-94,0,0,3.44,39.33,15.56,0,1792.15,1.7,0,0,65.02,1.21,0,3.67,0,0,1.42,0,0.57,0,36.12,0,4.75,17.46,3063.61,0,0.69,2.87,0,0,4.44,0,0,0.64,194.27,0,3.52,3.75,0,0
 96-106,0,0,0,34.89,30.63,0,973.83,1.59,17.48,0,37.75,2.42,0,1.64,1.84,0,0,2.84,7.28,0,36.26,0,0,12.25,2480,0.65,1.92,0,0,4.28,5.22,0,0,0.99,33.47,1.6,0,0,2.69,2.2
108-118,0,0,0,22.9,17.95,0.55,1192.41,0.56,1.49,1.83,38.79,0.47,0,0,1.53,0.52,2.54,0,1.51,0,34.46,0,3.33,2.5,3547.32,0,7,0,0,0,5.05,0,0,0,21.51,0.89,0,3.36,1.74,0
120,0,0,0,26.89,10.13,0,1642.02,0,1.21,19.12,52.66,9.17,0,0,8.92,0,0,2.53,0,0,47.6,0,4.71,2.8,3881.21,0,6.01,0,0,0,2.57,0,9.45,0,20.3,0,8.19,3.29,9.46,0
