stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,242.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.86,0,0,0,0,0,0,0,0,0,0
  5-6,68.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,8.23,0,0,0,3.32,0,0,0,13.51,0,0,0,0,0,36.18,0,0,0,4.3,0,0,0,0,3.78,0,0,0,0,0,0,0
 14-21,0,1.32,0,2.85,0.99,0,1.66,0,0,2.27,0,0,0,2.98,0,0.99,31.65,0,0,0,0,0,0,0,8.59,0,0,5.17,6.76,0,0,0,0
 24-34,0,0,0,4.42,0,0,4.09,0,0.63,0.8,0,0,3.2,10.69,0,5.09,88.95,0,1.12,0,0,0,0.96,0,0,0,0,5.13,9.86,0,1.26,0,0
 36-46,0,0.73,0,0.63,0,0,35.5,0,0,18.05,0,0,0,24.8,1.06,1.99,132.44,0,0.57,0,0,0,0,0,0,14.95,0,0,54.1,0,8.84,0,0
 48-58,0,0,0,0,0,0,152.45,10.5,1.56,24.53,0,0,0,30.37,0.99,0.62,174.77,0,1.16,0.42,0,0,6.32,0,0,0,0,0,34.22,0,1.29,0,0
 60-70,0,0,0,0,0,0,207.47,0,0.83,25.76,0,0,0,39.13,0.71,1.69,214.86,0,0,0,0,0,0,0,0,0,0,0,34.65,0.84,2.7,0,0
 72-82,0,0,0,2.08,0,0,113.76,0,1.56,32,0,0,0,38.16,0.63,2.47,102.42,0,2.08,1.63,0,0,0,0,0,0,0,0,14.66,0.81,0.83,1.91,0
 84-94,0,0,0,2.87,0,0,95.63,0,7.78,31.74,0,0,0,70.37,3.29,11.77,115.86,0,0,0,0,0,0.83,1.4,0,0,0,0,6.35,4.86,1.29,3.3,0
 96-106,0,0.87,0,0.79,0,0,86.12,0,2.88,13.89,0,0,0,53.06,1.96,0,51.34,0,1.7,0,0,2.5,0,0,0,0,0,0,3.6,0,3.65,0,1.96
108-118,0,0,0,0.45,0.89,0,67.99,0,1.7,28.48,0,3.66,0,49.38,0,1.82,85.01,0,0,0.8,0,0,0,0,0,0.76,0.51,0,0,0,4.47,0,1.58
120,0,0,0,1.24,0,2.68,109.69,0,0,17.07,0,0,1.74,67,0,4.96,68.78,6.74,0,0,0,6.67,0,0,0,1.21,0,0,0,1.95,0,0,0
