stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,8.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.13,0,0,3.61,0,0,0,11.29,0,0,0,0,0,0,0,0,26.21,15.87,0,63.99,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.83,0.99,3.31,0,0,0.95,0,0,0,0,0,0,4.79,0,7.14,24.75,0,0,0.8,0,0,1.64,0.91,1.64,8.29,0,1.2,0,0
 24-34,0,0,2.41,0,5.49,0.6,0,2.93,0,1.92,0,0,0,0,13.78,0,13.94,61.9,0,0,0,0,0,0,0,0.64,13.71,0,2.4,0,0
 36-46,0,0,0,0,6,0,1.59,1.51,0,0,0,0,0,0,21.72,0,6.46,28.2,0.72,1.82,0,1.69,0,0,0,0,20.57,0,0.76,0,0
 48-58,0,0,0.99,0,8.38,0,0.85,4.1,0,0.64,0,0,0,0,38.63,0,5.5,33.33,0,0,0,0,0,0,0,0,11.44,0,0.93,0.78,3.72
 60-70,0,0,5.3,0,3.31,0,0,25.34,0,0.9,0,0,0,0,42.83,0.62,1.73,8.78,0,0,0,0,0,0,0,0,0,1.88,7.19,0,0.97
 72-82,0,0,0.96,0,2.45,0,3.4,17.84,0,0,0.61,0,0,0,90.66,3.27,5.5,14.11,0,0,0,0,0,0,0,0,0,1.65,0,0.5,0
 84-94,0,0,0,0,4.43,0,2,3.63,0,0,0,0.96,0,0,92.92,0.96,3.95,7.83,0,0,0,6.05,0,0,0,0,4.92,4.06,1.35,1.2,0
 96-106,0,0,0.93,0,5.84,0,0,27.11,0,0,0,0,0,0,78.55,0,3.34,9.18,0,0,0,0,2.4,0,0,0,2.16,0,2.11,0,0
108-118,0,0,3.9,0,3.59,0,1.19,2.23,0,0,0,0.84,1.18,1.68,87.07,1.65,2.42,9.88,0,0,0,0,0,0,0,0,0,6.56,0.78,7.6,2.03
120,0,0,0,0,2.26,0,1.44,0,0,0,0,0,0,0,127.31,0,10.19,5.25,4.99,0,0,9.05,3.17,0,0,0,10.89,2.71,0,3.69,0
