stage,blastomeres,endocrine_pancreas,epidermis,exocrine_pancreas,eye,glial,gut,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.7,0,0,0,0,4.24,0,4.96,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,15.54,0,5.6,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.82,3.78,0,0,0,1.08,4.7,0,0,0
 24-34,0,0,0,0,0,0,0,0.7,0,41.82,0,0,0,0,11.14,0,0,0
 36-46,0,0,0,0,0,9.72,0.86,0.97,0.9,108.6,0,0,0,0,6.04,0,0,0
 48-58,0,0,0,0,5.6,1.84,0,2.69,0,108.7,0,0,0.49,0,4.99,0,0,1.31
 60-70,0,0,0,0,0,0,0,2.68,0,58.52,0,0,0,0,0,0,0,0
 72-82,0,0.79,0,0,10.56,4.49,0,5.35,0,82.61,0,0,0,0,1.71,0,1.98,0
 84-94,0,0.56,0,0,1.77,0.75,0,10.4,0,52.91,0,0,0.72,0,0,1.21,4.69,0
 96-106,0,0,0.64,0.59,6.98,0,0,17.82,0,48.33,0,0,0,0,1.95,0,3.05,0
108-118,0,0,0,0,8.88,2.85,0,19.96,0,67.72,0.49,0,0,0,0,0,0,0
120,0,0,0,0,12.38,4.83,0,19.59,0,170.67,0,0,0,0,17.39,0,0,0
