stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,0,6.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.26,0,3.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.15,0,0,0,5.86,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,35.46,0,0,0,0,0,0,0,6.08,0,0,0,0,0,0,0,0,377.5,0,0,0,69.9,0,0,0,0,5.61,0,0,0,0,0
 14-21,0,0,2.68,367.57,1.08,0,0,0,0,0,3.05,0,0,2.16,0,3.51,1.1,0,4.29,6.09,6.51,0,1.49,5.95,0,42.92,1.25,0,6.66,3.54,0,0,0,0
 24-34,0,0,0,73.96,0,0.6,5.05,0,0,0,1.4,0,0,7.11,0.69,54.65,0,0,6.5,9.31,0.62,2.43,0,0,0,1.46,0,0,1.56,0,0,0,0,0
 36-46,0,0,0,47.6,0,0.86,3.31,4.01,0,0,0,0,0,0,0,117.7,0,0,3.76,20.59,0,0.89,0,0,0,2.96,0,0,0,1.14,0,0,0,0
 48-58,0,0,0,12.63,0,0.37,1.89,2.7,5.24,0,3.49,0,0.39,4.77,0,193.08,0,0,16.58,18.27,1.28,0,0,0,0,0,0,0,0,1.14,0,0,0.38,0
 60-70,0,0,0,24.85,0,3.9,5.01,3.16,0,0,0,0,0.82,4.77,0,319.68,0,0,1.54,6.51,0,0,0,0,0,0,0,0,0,0,0,0.8,0,1.25
 72-82,0,0,0,23.05,0,22.74,2.1,3.25,0,0,0,0,0,2.95,0,446.97,0.66,0,11.91,10.61,0,0,0,0,1.08,0,0,0,0,0,0.62,1.65,0,9.15
 84-94,0,0,0,22.93,0,10.12,0.72,6.23,8.5,0,0.76,0,0,2.74,0,373.4,0,0,21.17,20.93,0,1.65,0,0,0,2.26,0,0,0,0,2.89,0,0,7.43
 96-106,0,0,0,18.48,0,38.95,0,3.38,0,2.45,0,0,3.39,7.46,0,405.85,0,0,9.54,19.52,0.77,0,0,0,0.79,0.61,0,0,0,0,0,1.2,0,18.21
108-118,0,0,0,27.56,0,20.39,0.44,2.16,2.27,2.72,0,0.75,1.03,4.86,0,526.95,0,6.63,4.11,36.07,0.89,0,0,0,8.38,2.58,0,0.81,0,1.99,1.74,0.99,0,8.64
120,0,0,0,42.56,0,27.6,0,7.97,0,0,0,0,0,0,0,479.33,0,0,25.5,38.39,8.52,0,0,0,0,0,0,0,0,0,0,12.34,0,21.94
