stage,blastomeres,endoderm,epidermis,erythrocytes,eye,mesenchyme,mural_cell,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  3-4,151.48,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,0,0
  5-6,144.38,0,0,0,0,0,0,0,0,0,0,0,8.13,0,0,0,0,0
  7-9,25.01,3.77,0,0,0,0,0,59.42,0,0,0,27.41,0,0,0,0,0,0
 10-12,3.64,0,0,0,12.13,0,0,21.2,0,0,0,17.95,0,0,0,0,0,0
 14-21,0,0,0,2.19,1.71,0,0,3.61,1.29,0,0,0,0,1.26,2.02,2.68,0,0
 24-34,0,0,0,0,0.66,1.75,0,2.25,0,0,0,0,1.65,0.71,0,0.6,3.65,0
 36-46,0,0,0,0,1.89,1.04,0,0,0,0,0,0,2.18,0,0,0,1.01,0
 48-58,0,0,0,0,1.87,0.38,0,0.75,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.74,0,0,1.07,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.51,1.46,0,1.91,0,0,0,0,0,0,0,0,0,2.54
 84-94,0,0,0,0,0.81,1.5,3.35,0.56,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.01,0,8.76,0,0.6,1.22,0,0,0,0,0,0,0
108-118,0,0,0,0,0.54,3.03,0,1.68,0,0,0,0,0,0,0,0,0,0
120,0,0,2.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
