stage,blastomeres,epidermis,eye,fast.muscle,fin.mesenchyme,glial,gut,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,10.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,6.52,0,6.99,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,12.57,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.89,0,0,0,0,0.95,0,0,0,0
 24-34,0,0,1.94,0,0,0,0,0,4.78,0,0.66,2.54,1.05,0,0.7,0,1.65,0,0,0
 36-46,0,0,0,1.47,0,0,0,0.86,4.31,0.77,0,1.86,0,0,4.5,0,0,0,0,1.43
 48-58,0,0,0.78,0,2.43,0,0,1.28,1.25,0,0.4,13.26,0,0,0,0,0,0,0,0.5
 60-70,0,0,1.07,0,0,0.74,0,8.43,1.73,0,0,0,1,0,0,0,0,0,0,0
 72-82,0,0,4.19,0,0,2.31,0,0,2.54,0,0,12.3,0,0,0,0,0,0,0.89,8.51
 84-94,0,0.68,0,0,0,0,0,14.56,1.51,0,0,6.39,0,0,0,0,0,0,0,4.53
 96-106,0,0,1.24,0,0,2,0.56,0,6.97,0,0,1.8,0,0,0,0,0,0,0,0
108-118,0,0,5.29,1.09,0,1.89,0,1.79,3.83,0,0,7.72,1.68,0,0,0,0,0,0,0
120,0,0,31.23,0,0,0,1.52,0,13.47,0,0,17.56,2.11,0,0,0,2.5,1.78,0,0
