stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.35,573.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.28,732.51,0,0,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0,0,0,0,30.14,0,0,0,12.15,0,18.53,0,0,0,0,0,0,0,0,0,0
  7-9,39.41,82.07,0,75.18,0,0,191.33,0,0,0,0,0,32.88,0,0,0,0,0,0,0,0,0,0,0,1342.19,58.87,0,0,427.82,0,3.31,0,0,0,0,0,0,0,0,0,0
 10-12,0,35.01,0,136.61,0,0,147.93,0,0,0,0,0,26.37,0,0,0,0,0,0,0,0,0,0,0,1251.45,34.44,0,0,624.67,0,0,4.56,110.12,0,29.21,0,0,0,0,0,0
 14-21,0,0,0,0,61.83,12.43,31.52,0,0,0,11.94,0,0,3.97,0,1.72,0.87,0,0,1.65,34.5,0,0,9.38,318.01,8.99,0.95,3.33,6.67,0,0.86,43.18,6.51,5.12,44.11,114.78,0,0,2.83,0,0
 24-34,0,0,0.6,0.81,20.95,3.07,71.86,0,0,1.23,19.05,0,0,0,1.59,3.06,0,1.12,1.35,0,56.23,0.66,0,25.08,742.52,2.1,7.14,3.58,1.99,0,19.83,0,0,0.67,8.85,186.14,0,0,12.03,0,0
 36-46,0,0,0.98,0,10.94,4.4,197.57,3.03,0,2.83,35.25,0,0,2.39,0,0.68,6.16,0.81,2.23,8.41,71.08,0.65,0,15.86,716.58,0,6.52,1.15,0,0,27.66,0,0.56,0.66,0,176.81,0,0,10.71,0,0.7
 48-58,0,0,0,0,13.86,0.86,254.08,0.4,1.23,1.82,53.86,0,6.28,1.34,0,0,0,0.78,0.99,0.39,84.57,0.39,3.99,5.38,602.6,0.38,3.74,1.03,0,0,8.86,0,0.38,0,0,97.39,0,0.42,2.79,0,12.38
 60-70,0,0,0,0,11.72,0,347.56,3.26,7.91,8.4,33.14,0,0,2.24,0,0,0.9,0.84,17.31,0,81.69,0,2.26,16.57,427.08,1.69,0.89,15.9,0,0,3.42,0,0,2.81,0,74.23,0,1.6,4.15,0,0.94
 72-82,0,0,1.32,0,14.77,8.27,223.92,0,0,9.54,44.75,1.5,0,1.25,1.01,1.16,0.59,4.39,1.35,0,123.46,1.88,5.55,10.46,468.47,1.38,4.49,4.38,0,1.12,4.09,0,0.9,0,0,40.19,1.42,1.74,13.39,3.23,5.57
 84-94,0,0,1.48,0,16.11,7.17,173.83,0,1.2,4.06,33.13,0.77,0,0,3.99,4.26,4.11,1.39,2.72,0,103.76,3.88,7.57,9.93,267.42,7.16,2.7,6.44,0,0,24.01,0,0.7,0,0,68.24,1.67,0.84,8.97,2.6,0
 96-106,0,0,2.43,0,19.1,13.8,192.55,0.67,0,2.88,48.95,1.73,0,0.62,5.2,1.77,1.47,0,0,0.6,126.8,2.47,5.1,8.93,294.6,2.06,11.18,2.24,0,0,20.21,0,1.33,0,0,16.21,0.83,1.7,11.08,10.11,0
108-118,0,0,0.57,0,19.63,6.84,179.03,0,1.44,6.73,68.98,0.5,0,4.34,4.48,2.8,1.35,0.5,1.46,0,93.42,0,2.08,7.4,337.94,1.54,5.19,1.97,0,1.8,14.78,0,0.6,0.55,0,10.56,0,1.26,20.61,3.15,6.15
120,0,0,0,0,5.35,5.26,157.01,1.51,3.34,10.07,38.57,17.1,0,0,4.31,0,4.53,0,4.39,0,110.13,0,0,9.09,339.23,0,8.34,0,0,0,29.55,0,0,0,0,0,0,8,0,2.94,7.88
