stage,axial,blastomeres,eye,gut,hatching.gland,mesenchyme,neural,paraxial.mesoderm,spinal.cord
  3-4,0,197.57,0,0,0,0,0,0,0
  5-6,6.12,143.18,0,0,0,0,9.31,0,0
  7-9,8,0,0,0,5.97,0,25.91,0,0
 10-12,0,0,3.13,0,0,0,12.94,17.75,0
 24-34,0,0,0,0,0,0.71,0,0,1.88
 36-46,0,0,0,0,0,0,3.96,0,6.13
 48-58,0,0,0,0,0,0,25.86,0,17.29
 60-70,0,0,0,3.62,0,0,23.47,0,15.49
 72-82,0,0,0,0,0,0,14.23,0,12.95
 84-94,0,0,0,0,0,3.6,8.72,0,4.61
 96-106,0,0,0.63,0,0,0,10.1,0,3.08
108-118,0,0,0,0,0,0,17.63,0,6.13
120,0,0,0,0,0,0,14.68,0,0
