stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,824.79,17945.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.81,0,0,0,0,0,0,0,0,0,0
  5-6,4479.73,80381,0,292.05,0,0,0,0,0,0,0,0,163.1,0,0,0,0,0,0,0,0,5329.39,463.38,0,0,1518.75,743.58,0,0,0,0,0,0,0,0,0,0
  7-9,3937.65,4203.7,0,11458.05,0,5.98,1282.62,0,0,0,0,0,744.91,0,0,0,0,0,0,0,0,104391.35,7105.58,0,0,71735.45,76.83,724,0,12.83,0,0,0,0,0,0,0
 10-12,77.2,810.44,0,2245.56,0,34.31,250.29,0,0,0,0,0,28.87,0,0,0,0,0,0,0,0,28204.36,2982.75,0,0,19525.77,4.24,90.18,23.03,728.5,0,59.62,32.26,0,0,0,0
 14-21,0,0,1.38,0,336.77,20.57,10.11,0,0,0,8,6.81,4.35,0,0,2.5,0,0,76.38,0,90.09,867.58,670.96,1.4,43.57,1697.34,3.27,1.16,1659.19,46.69,3.55,1007.4,2711.93,0,0,0,0
 24-34,0,0,0,0,0,2.18,8.64,0,0,3.97,2.8,0,2.3,0,0,0,0,0,20.93,0,71.65,188.96,52.62,0,46.87,1,0.67,0,10.01,1.54,0,269.33,331.41,0,0,0,0
 36-46,0,0,0,0,0,0,2.44,0,0,1.66,0.6,0,0,0,0,0,0,0,10.87,0,12.13,125.87,4.02,0,9.79,0,8.64,0,0,0,0,0,71.2,0,0,0,0
 48-58,0,0,0,0,0,0,12.78,0,0,0.56,16.89,0,0,0,0,0,0,0,9.86,0,1.13,572.05,0,0,7.23,0,0,0,0,0,0,0,19.07,0,0,0,0
 60-70,0,0,0,0,4.09,0,19.06,0,0,0,2.27,0,0,0,0,0,0,0,8.37,3.94,0,1186.39,0,0,2.22,0,0,0,0,0,0,0,3.88,0,0,0,0
 72-82,0,0,0,0,12.52,0,65.2,0,0,0,0,0,0,0,0,0,2.26,0,5.13,0,0,998.96,0,0.79,5.6,0,0,0,0,0,0,0,5.91,3.4,0,0.76,0
 84-94,0,0,0,0,7.58,0,55.66,0,7.57,0,15.35,0,0,3.82,0,0,0,1.28,7.92,0,0,664.74,0,0,0,0,1.25,0,0,0,0,0,3.34,2.26,0,1.2,0
 96-106,0,0,0,0,11.86,0,31.01,0.78,1.11,0,11.09,2.32,0,0,0,1.76,0,0,6.45,0,0,490.15,0,0,1.71,0,0,0,0,0,0,0,0.64,0,0.99,0,0.68
108-118,0,0,1.11,0,3.38,0,41.54,0.54,0,0,7.92,0,0,0,0,0,0,0,4.49,0,0,761.97,0,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,20.84,17.38,73.17,0,0,0,22.11,0,0,0,7.84,0,0,0,13.67,7.06,0,903.93,0,0,2.38,0,0,0,0,0,0,0,4.02,0,0,0,0
