stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste
  3-4,0,10.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.41,0,0,0,0,0,0,0,0,0,0,11.09,0,11.34,0,0,0,0,0
 10-12,0,7.49,5.36,0,0,10.81,0,0,0,0,0,27.7,3.1,101.35,0,10.09,4.35,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.02,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,8.93,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,20.7,0,0,0,0,0,6.06,0
 48-58,0,0,0,0,0,4.38,0,0,0,0.43,0,49.64,0,0,0,0,0,8.02,0
 60-70,0,0,0,0,0,16.87,0,5.77,0,0.58,0,106.25,0,0,0,0,0,27.72,0
 72-82,0,0,0,0,0,55.28,0,4.41,0,5.52,0,132.6,0,0,0,0,0,16.95,0
 84-94,0,0,0,0,0,32.83,0.67,1.32,2.93,0.93,0,98.07,0,0,0,0,0,13.11,0
 96-106,0,0,0,0,0.96,79.42,0,1.69,0,0,1.18,88.8,0,0,0,0,0,1.37,4.84
108-118,0,0,0,0.78,0,54.03,0,1.37,0,2.02,0,101.76,0,0,0,0,0,4.42,0
120,0,0,0,0,0,73.59,0,11.46,0,8.38,0,317.76,0,0,0,0,0,0,0
