stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,0,201.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.58,155.82,0,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0,7.11,0,0,0,0,0,0,0
  7-9,22.82,5.39,0,0,0,0,0,0,0,0,36.51,0,0,0,0,0,0,104.35,3.28,74.99,0,0,0,0,0,0,0
 10-12,0,0,0,0,11.01,14.27,0,0,0,0,56.09,0,0,0,0,0,0,127.3,0,127.27,0,0,8.87,0,0,0,0
 14-21,0,0,0.98,0.95,0,1.72,0,0,0,0,1,0,0.82,0,6.24,0,1.75,27.74,0,0.82,0,12.68,0,1.81,5.31,10.54,0
 24-34,0,0,0,0,0,0.72,0,0,0,0,0,0,0,0,1.1,0,0,17.77,0,0,0,0,0,0,0,8.25,0
 36-46,0,0,0,0,0,2.16,0,0,2.52,0,0,0,0,0,2.38,0,1.07,20.52,0,0,0,0,0,0,0,9.77,0
 48-58,0,0,0,0,0,0.42,0,0,0,0,0,0,0,1.02,2.56,0,0,19.79,0,0,0,0,0,0,0,4.18,0.56
 60-70,0,0,0,0,0,7.24,1,0,2.16,0,0,0,0,0,5.19,1.05,0,19.28,0,0,0,0,0,0,0,9,2.96
 72-82,0,0,0,0,0,8.82,0,0,3.99,0,0,0,0,0,3.91,0,0,11.88,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.67,0,2.99,0,0,0,1.31,0,1.16,0.67,0,10.01,0,0,10.96,0,0,0,0,0,0,0,1.5,0
 96-106,0,0,0,0,0,2.42,0,0.86,0,0,0,0,0.56,0,0,0,0,7.98,0,0,0.69,0,0,0,0,0,0
108-118,0,0,0,0.87,0,5.07,0,1.22,0,0.59,0,0,0,0,0,0,0.53,7.24,0,0,0,0,0,0,0,0,0.84
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.37,0,0,1.22,0,0,0,0,0,0
