stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,34.97,228.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.42,122.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.65,0,0,0,0,0,0,0,0,0,17.3,0,0,0,0,0,0,0,0,0,0,0,37.34,0,0,0,9.83,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.13,0,0,0,13.52,0,0,0,12.9,7.48,0,0,0,0,0,0
 14-21,0,0,2.85,0.86,0,0,1.16,0,1.15,0,0,0.97,0,0,0.87,0,0,0,1.72,0,0,1.7,26.46,0.86,0,0,0,0,23.01,1.78,0,0,10.3,0,0,0,0,0
 24-34,0,0,2.15,0,4.43,0,1.2,0,0,0,0,2.31,2.43,0.62,0,0,0,0,12.89,0,0,4.55,57.76,1.54,0,0,0,0,109.5,0,0,1.28,20.52,0,0,2.94,0,0
 36-46,0,0,2.62,0,5.99,0,0,0,2.85,0.57,0,0,0.98,0,0,0,0,0,11.52,0,1.72,5.38,45.67,0,0,0,0,0,167.39,0,0,0,7.75,0,0,2.32,0,0
 48-58,0,0,2.64,0,13.51,0,1.2,0,3.97,0.51,0,0.89,3.52,0,0,0,0,0.39,10.36,2.35,0,2.27,21.92,0,0,0,0,0,144.95,0,0,0,1.41,0,0,1.69,0,5.77
 60-70,0,0,0,0,6.68,0,0,0,2.65,0,0,0,0.78,0,0,0.66,0,0,17.26,0,0,0.58,9.36,0,0,0,0,0,173.38,0,0.59,0,2.24,0,0.6,0,0.81,0
 72-82,0,0,8.09,0,5.35,0,0,5.38,5.18,0.63,0,0,0.71,0,8.88,0,0,2.67,28.84,0.56,9.69,2.76,16.08,0,3.2,0,0,0,65.13,0,0,0,1.83,0,1.39,2.55,1.24,0
 84-94,0,0,10.49,0.57,10.31,0,0.57,2.83,3.35,0,0,0,5.86,1.16,2.52,0,0,0,20.7,1.05,1.28,5.21,16.95,0,0,0.71,0,2.09,175.03,0,0,0,1.76,0,0,6.5,0,0
 96-106,0,0,7.33,6.6,12.69,0.62,1.81,3.05,4,2.21,0,0,8.65,0,0,0.71,2.93,0,42.68,1.5,1.5,3.32,16.24,0,3.16,0.86,0,1.54,143.9,0,0,0,0,1.47,2.14,12.71,0.58,2.76
108-118,0,0,14.7,1.38,7.14,0,1.56,0,9.31,1.76,0,0,1.04,0.92,6.28,0,0.5,0,33.69,0.77,4.08,0,26.84,1.49,1.15,7.37,0,2.26,113.27,0,0.62,0,1.01,0,0,10.37,0,0
120,0,0,12.88,1.33,9.59,0,0,0,11.03,8.22,0,0,2.81,0,0,0,0,0,50.62,2.91,0,0,9.76,3.89,12.05,3.34,0,0,24.29,0,0,0,0,0,0,8.01,2.54,0
