stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,paraxial.mesoderm,pericytes,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste
  7-9,0,0,0,0,0,0,0,0,0,0,0,70.97,0,11.26,0,0,0,0,0,0,0
 10-12,14,78.63,0,0,3.11,0,0,0,0,0,0,621.75,42.49,57.47,0,0,4.97,0,0,0,0
 14-21,0,7.86,22.33,1.85,0,1.22,0,16.24,0,0,13.58,62.12,3.46,1.21,0,2.63,0,0,2.24,27.83,0
 24-34,0,0.62,2.18,0,1.05,0,0.65,4.23,1.24,0,0.74,70.11,0,0,0,0,0,0,0,33.34,0
 36-46,0,0,0,0,0,1.77,0,1.67,0,0,0,68.75,0,0,0,0,0,0,0,32.81,0
 48-58,0,0,0,0,0,5.87,0,2.38,0,0,0,30.76,0,0,0.97,0,0,0.79,0,5.71,0
 60-70,0,0,0,0,0,0,0,1.79,0,0,0,30.44,0,0,0,0,0,0,0,5.85,0
 72-82,0,0,0,0,0,0,0,0,0,1.84,0,8.42,0,0,0,0,0,0,0,0.67,0
 84-94,0,0,2.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,7.36,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,6.85,0,5.69,0,0,0,0,0,0,0,0,0.54
120,0,0,0,0,0,0,0,0,0,0,0,4.61,0,0,0,0,0,0,0,0,0
