stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,71.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.21,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.32,0,0,0,0,14.42,0,0,0,4.49,0,0,0,0,0,0,0,0
 14-21,0,0,3.22,4.64,0,0,1.14,0,0,0,0,0,0,0,4.72,54.68,0,6.54,0,0,13.59,2.04,0,0.85,0,1.15,0,2.35,4.69,0,0,0,0
 24-34,0,0,0,1.65,0,0,0.86,0,0,0,4.46,0,0,0,0,24.66,0,4.97,0,2.04,56.51,0,0,0,0,2.45,0,0,9.28,0,0.73,0,0
 36-46,0,0,0,2.61,0.61,0,10.02,0,0.79,0,11.47,0,0,0,0,3.71,0,1.91,0,0.58,56.66,0,0,0,0,0.78,0,0,36.18,0,2.22,0,0
 48-58,0,0,0,2.75,0,0,26.75,0.85,1.71,0,35.66,0,0,0,0,6.39,0,3.66,4.37,0,110.85,4.5,0,0,0,4.55,0,0,35.87,0,0,0,0
 60-70,0,0,0,0.75,0,0,26.9,0,0,0,70.14,0,0,0,0,0,0,17.44,0,1,107.91,0,0,0,0,4.83,0,0,24.55,0,0,0,0
 72-82,0,1.65,0,1.67,0,0,61.76,0,0.71,2.51,156.98,4.24,0,0,0,0,0,67.2,1.59,0.84,104.71,0,0,0,0,1.31,0,0,14.23,0,0.49,0,0
 84-94,0,0,0,2.67,0,0,97.72,0,0,0,130.62,14.74,1.16,0,1.17,0,0,77.35,0,0,61.6,0,1.36,0.64,0,2.57,0,0,11.19,0.88,0,0,0
 96-106,0,0,0,3.37,0,1.05,172.68,0,0.56,3.42,151.12,57.02,0.88,0,0,0,0,101.75,0,0.72,62.29,0,0,0,0,1.53,0.71,0,25.28,3.01,3.84,0.68,0
108-118,0,1,0,3.57,0,0.92,257.27,0.65,0.43,0,218.72,153.67,0,1.6,2.86,1.87,0,86.72,1,1.56,90.42,0,0,0.52,0,2.79,0,0,11.91,1.74,0,0,0.87
120,0,0,0,1.6,5.19,1.03,157.12,5.69,0,0,248.69,101.09,0,0,1.65,0,3.89,83.36,0,0,133.3,3.42,0,9.43,0,0,0,0,35.92,0,0,0,0
