stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,9.76,219.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.24,450.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.67,11.17,0,0,21.36,0,0,0,0,0,0,0,0,0
  7-9,4.65,11.06,0,16.25,0,0,0,58.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403.82,10.02,0,0,85.23,0,0,0,0,0,0,0,0,0
 10-12,0,18.49,0,0,0,0,0,49.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272.05,6.68,0,0,78.48,0,0,0,8.83,0,0,0,0,0
 14-21,0,0,0,0.86,16.95,4.1,0,6.25,0,0,0,0,0,0,0,0,0,0,1.26,8.89,0,5.98,119.73,2.25,0,0,2.61,0,3.39,20.53,0,12.64,44.59,0,0,0
 24-34,0,0,0,0,1.36,0,0,13.34,0.8,0.83,0.62,0.92,0,0,0,0,2.18,0,0,8.25,0,2.71,123.17,0,1.94,1,0,0,3.42,0,0,1.49,25.55,0,2.93,0
 36-46,0,0,0,0,0,0,0,13.17,0,0.96,1.87,0,0,0,2.49,0,0,0,0,17.56,0,4.82,74.58,0,0,0,0,0,3.32,0,0,0,10.13,0,1.38,0
 48-58,0,0,0,0,0.44,0,0,14.18,0,0,10.1,0,0,0,0,0,0,0,0,18.26,0,1.99,52.36,0,0,0.45,0,0,3.38,0,0,0,7.84,0,1.49,0
 60-70,0,0,0,0,8.08,3.14,0,21.26,1.18,0,3.32,0,0,0,0,0,0,0,0,15.29,0,0.67,29.8,0,1.08,0,0,0,2.1,0,3.39,0,3.92,0,0,0
 72-82,0,0,0,0,1.23,0.77,0,33.99,0,0,6.94,0,0,1.18,0,0.72,0,0,0,16.99,0.74,0,30.79,0,0,0,0,1.77,1.53,0,0,0,5.64,1.01,4.05,0
 84-94,0,0,0,0,0.7,0,0,8.22,0,0.8,6.72,0,0,0.65,0.99,0,2.31,1.49,0,18.82,0,1.8,21.61,1.11,0,4.35,0,0,3.41,0,0.7,0,0,0,0,0
 96-106,0,0,0,0,3.45,0,0,4.2,0,0,8.13,0.94,1.33,0.57,0,0,2.65,0,0,11.12,0,0.79,5.72,0,1.91,0,0,0,3.87,0,0,0,0,0.82,1.32,0
108-118,0,0,0.61,0,0.44,0,4.22,7.74,0.52,0,10.03,0,0,0,1.43,0,0,0,0,15.54,0.46,0.5,26.56,0,0,0,0,0,4.95,0,0,0,0,0.54,0,0.57
120,0,0,0,0,2.6,0,0,31.24,0,0,13.03,0,0,0,0,0,0,0,0,1.34,0,0,43.36,3.68,0,0,0,0,2.01,0,0,0,0,0,0,0
