stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.01,149.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.99,85.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.19,0,0,0,12.7,0,0,0,0,0,6.42,0,0,0,0,0,0,0,0,0,0,0,57.98,13.95,0,0,38.69,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,16.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.46,0,0,0,42.33,0,0,0,3.29,0,0,0,0,0,0,0
 14-21,0,0,0,1.98,14.62,3.07,0,5.32,0,1.7,0,3.99,0,0,0,0,0,0,0.92,0,0,10.72,0,0,6.99,117.72,2.28,0,2.36,0.99,0,7.46,8.32,1.85,0,4.63,73.09,0,0,0,0
 24-34,0,0,0,0,20.07,0,0,14.89,0,0,1.42,4.1,0,0,0.95,0,0,0,2.25,0,1.29,23.6,0,0,10.88,457.69,0,2.86,1.33,0,0,3.65,0,0,0,2.08,126.68,0,0,0,0
 36-46,0,0,0.95,0,2.28,0,0,84.02,0,0,0.84,18.51,0,0,0,0,1.63,0,0,0.57,0,26.04,0,0,7.97,1020.3,0,0.64,4.58,0,1.69,16.47,0,0,0,0,172.49,0,15.54,0,0
 48-58,0,0,0,0,4.66,0,0,312.96,0,1.9,7.71,37.58,0,0,0.87,0,0,0.72,0.58,0,0,40.36,0,2.23,3.29,1397.44,0.39,1.88,1.77,0,0,20.6,0,0,0,0,236.02,0,2.93,0,2.14
 60-70,0,0,0,0,4.41,0,0,632.68,1.17,6.93,0.87,44.67,0,0,0.9,0,0,0,0,0,0,35.24,0,0.63,7.56,1296.39,0,0.89,4.08,0,2.46,16,0,0,0,0,179.86,2.2,0,0,12.22
 72-82,0,0,0,0,7.6,0.59,0,582.23,0,0.74,2.77,24.32,0.56,0,0,0,0,2.71,0.66,0,0,54.25,0,2.02,3.95,1079.65,0,1.23,6.72,0,0,8.06,0,0.63,0,0,118.3,1.93,14.39,1.42,11.14
 84-94,0,0,1.46,0,4.46,0,0,370.2,0,1.43,0,22.25,0,0,1.75,1.2,0,2.27,2.23,4.16,3.1,65.19,0,0.76,5.07,687.64,0,0,10.59,0,0,34.55,0,0,0.69,0,48.02,1.7,6.61,1.57,0.7
 96-106,0,0,1.37,0,10.52,7.83,0,291.09,1.05,1.33,1.73,18.1,2.14,0,0.78,1.75,0.68,1.05,2.53,7.43,0,38.53,1.61,1.61,1.69,519.26,0,4.66,11.95,0,0,23.04,0,0.89,0.68,0,32.89,0,2.11,1.5,0
108-118,0,0,0,0,7.07,1.51,2.65,247.46,0.55,2.89,0,7.72,6.38,0,0,2.11,1.25,7.21,0.87,0,0,44.01,0.42,2.9,6.42,598.19,0.85,2.04,8.47,0,3.28,7.64,0,1.06,0,0,20.55,0,5.12,0,4.49
120,0,0,0,0,13.17,0,0,171.73,0,1.21,2.36,39.95,0,0,0,0,1.65,9.02,2.81,0,0,40.94,0,0,4.5,834.6,0,2.49,27.81,0,2.03,3.84,0,0,0,0,44.15,0,16.67,14.16,3.17
