stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,heart,immune,mesenchyme,mural.cell,muscle,neural,periderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,11.89,24.34,0,0,0,0,0,0,0,0,0,0,10.45,0,0,0,0,0,0
  5-6,0,23.65,0,0,0,0,0,0,0,0,0,11.61,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,13.96,0,0,0,0,0,0,0
 10-12,0,0,6.44,0,0,0,0,0,0,0,0,21.33,0,0,0,0,0,0,0
 14-21,0,0,0,3.59,0,0,0,0,0,0,0,0,0,0,0.89,2.77,0,0,0
 24-34,0,0,0,0,0,0,0,0,1.82,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.8,1.58,0,0,0,0,2.31,0,0,0
 48-58,0,0,0,0,0,1.05,0.77,0,2.33,0,0.4,0.38,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,1.41,0,0,0,0,0,6.66,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.37,0,0,2.9,0.76,0,3.23,0,0,0,0,0,0.52,0
 84-94,0,0,0,0,0.74,2.86,0,0,0.86,0,0,3.21,0,1.3,0,0,0,0,0
 96-106,0,0,0,0,1.31,0.6,0,0.66,5.76,1.76,0,1.88,0,0.62,0,0,0,0,2.14
108-118,0,0,0,0,0,0.89,0,0,1.02,0,0,3.22,0,0,0,0,0.77,0,0.62
120,0,0,0,0,0,3.12,0,0,4.17,0,0,5.51,2.94,0,0,0,0,0,0
