stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,22.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,27.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.89,1.16,0.8,0,0.84,0,0,0,0,1.14,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,12.79,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,1.38,9.24,1.74,0,0,0,0,0,0,0,7.36,0,0,0.72,0,0
 36-46,0,0,0,0,0,0,63.07,0,0,0,1.41,0,0,0,0,0,0,0,0,0,0.86,0,0,0.85,15.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,155.98,0,0,0,1.29,0,0.48,0,0,0,0,0,0,0,1.71,0,0,0.79,14.58,0,0,0.38,0.56,0,0,0,0,3.06,0,0,0,0,0
 60-70,0,0,0,2.09,0,0,5951.51,0,0,0,13.74,0,0,0,0,0,0,0,0,7.36,10.76,0,0,0,33,0,0,2.73,0,0.63,0,0,0,10.66,0.81,0.61,3.01,0,0
 72-82,0,0,0,63.02,7.88,0,16379.97,0,0,4.78,117.33,2.2,0,4.03,7.61,0.64,0,0,8.47,2.32,42.9,0,2.35,0,340.98,0,0,4.67,0.87,5.14,0,0.77,0,10.63,0,0,0,1.72,0
 84-94,0,1.62,0,78.39,7.19,0,12967.14,1.99,7.38,0,188.79,1.58,0,0,1.19,0,1.62,0,0,0,46.88,0.57,2.25,11.96,250.93,3.29,0,0,2.68,5.34,0,0.6,0,12.86,0,1.29,5.98,5.12,4.14
 96-106,0,0,0,27.7,13.34,1.07,16840.63,1.53,1.2,0,166.26,2.45,0,5.45,14.85,0,0,5.55,0.7,0,40.64,3.36,1.25,9.23,247.13,0.79,2.98,0.85,2.33,17.03,0.6,1.79,0,3.51,4.97,0.62,4.5,2.28,10.36
108-118,0,3.13,0,49.66,0.9,0,12557.51,0,1.9,3.01,143.2,3.36,0,0,6.11,0.85,1.01,0,0.62,0,39.86,0.73,14.54,7.48,281.46,2.38,0.67,3.26,0,2.98,2.96,0,0,0,1.42,0,6.7,9.06,1.25
120,0,0,3.17,82.96,1.28,0,8404.98,0,0,0,134.57,11.79,0,0,0,0,0,0,0,1.33,36.07,2.91,0,6.33,358.02,0,4.24,12.02,0,14.63,0,0,0,10.32,0,0,15.97,0,0
