stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,0,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.14,0,0,0,0,0,0,0,0
  7-9,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.49,3.65,0,0,69.57,66.14,0,0,0,0,0,0,0,0
 10-12,0,4.33,0,0,0,3.81,0,0,0,0,0,5.87,0,0,0,0,0,0,0,0,0,0,0,894.56,16.48,0,0,61.23,7.59,0,34.19,0,0,0,0,0,0
 14-21,0,1.01,1795.28,0.94,0,0.96,0,1,0,0,4.59,2.16,0,0,16.2,0,0,0,0,3.17,4.6,0,3.97,46.06,28.84,0,2.36,0.98,299.98,5.78,3.2,6.53,15.94,0,0,0.85,0
 24-34,0.75,2.38,370.57,0,0,5.58,0,14.21,0,3.71,0,0,0,0,7.02,0,0.78,0,0,5.03,2.3,0,3.82,76.14,0,4.15,0,0,145.6,0,1.85,0,36.62,0,0,0.77,0
 36-46,0,0.96,165.89,0,0,15.74,0,31.72,5.32,12.06,1.74,0,0.65,2.11,0.66,0,0,0,0,7.46,0.64,0,1.66,66.87,0,0.56,1.89,0,123.32,0,5.52,0,24.34,0,0,4.1,0
 48-58,0,0,108.18,0,0,50.97,0,14.24,0.45,13.76,0,0,0,7.85,0.37,0,0.99,1.88,0,12.09,2.16,0,4.29,70.95,0,2.49,0,0,48.99,0,3.91,0,17.4,0,0,0,0
 60-70,0.65,0,91.41,0,0,97.98,0,36.98,0,11.39,10.57,4.08,0,15.04,1.18,0,4.49,0,5.76,5.91,0.57,1.78,0,88.22,0,0.81,0,0,84.95,0,2.56,0,5.03,0,0,0,0
 72-82,0,0,74.72,0,0,72.03,0,30.52,0.77,6.87,2.02,0,0.75,14.76,5.73,0,1.91,0,8.68,19.63,0.57,6.29,0,88.55,0,2,2.13,0,24.11,0,1.3,0,7.66,2.08,1.37,3.45,1.2
 84-94,1.62,0,140.85,5.36,0,43.94,0,25.24,0.99,6.2,39.02,0,0,21.2,3.22,0,1.32,3.29,0,7.68,0.71,0.57,0,35.65,0,4.82,0,0,106.09,0,5.53,0,7.06,0,0,4.78,0
 96-106,1.08,0,187.91,0,0,44.89,0.61,36.94,1.12,21.88,50.11,0,0,32.13,13.62,0.74,1.7,2.91,0,16.29,4.63,1.42,1.04,37.85,0,6.2,3.87,0,44.21,0,3.06,0,2.7,4.88,0,1.83,2.2
108-118,0,0,199.89,0,0.44,16.54,0,58.42,0,7.85,61.69,0,0,41.05,17.59,0.95,2.27,0.76,0,11.81,0,0,1.95,21.46,0,10.67,1.55,0,86.06,0,2.51,0,0,5.66,0,0,0
120,0,0,133.81,0,0,28.76,0,22.35,0,2.94,40,0,0,65.27,10.78,25.94,5.46,4.47,0,3.84,2.62,0,0,31.85,0,5.15,0,0,35.99,0,10.35,0,0,1.12,0,0,0
