stage,axial,blastomeres,epidermis,eye,glial,muscle,neural,periderm,spinal_cord
  3-4,17.22,0,0,0,0,0,0,0,0
  5-6,9.26,29.43,0,0,0,0,0,0,0
  7-9,0,0,0,6.8,0,0,9.8,0,0
 10-12,0,0,0,0,0,0,6.05,0,0
 14-21,0,0,0,0,0,0,0.92,0,0
 24-34,0,0,1.08,0,0,0,6.79,0,1.88
 36-46,0,0,0,0,0,0,25.1,1.5,4.22
 48-58,0,0,0,4.24,0,0,34.29,0,3.71
 60-70,0,0,0,44.93,8.58,0,94.25,0,7.16
 72-82,0,0,0,71.67,3.79,1.93,103.45,0,3.42
 84-94,0,0,0,82.02,1.42,0,26.14,0,20.43
 96-106,0,0,0,84.72,1.99,0,50.2,0,5.04
108-118,0,0,0,89.16,0.7,0,32,0,0
120,0,0,0,40.87,0,0,75.85,0,0
