stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,17.24,3.93,0,2.04,0,0,0,0,0,0,0,0,0,2.94,1.01,2.91,0,0,0.81,26.3,0,0,0,0,0,7.35,1.88,0,0,1.03,2.01,0,0,0,0,0
 24-34,0,0,1.8,0,0,7.51,0.81,0.71,0.7,0,0,0,1.01,0,0,0.66,0,1.41,0.63,0,0,55.02,0,0,0,0,0,9.69,0,0,0,1.77,7,0,0,1.41,0,0
 36-46,0,0,2.15,0,0,12.35,0,0,1.28,0,1.59,0,0,0,0.81,0,4.34,11.37,0,0,0,47.8,1.69,0,1.23,0,0,14.68,0,3.1,0,0,4.83,0,0,1.01,0,0
 48-58,0,0,0.55,0,0,16.53,0.46,0.64,9.23,0,0,3.32,0.52,2.21,0,0,0,10.68,0.37,0.4,0.47,46.93,3.21,0,0,4.77,0,12.53,0,5.9,6.28,0,7.22,0,0,5.05,0,7.01
 60-70,0,0,9.81,0,0,34,4.33,0.64,12.27,5.84,0,3.69,0,0,0.72,1.32,0,22.65,2.07,2.95,4.63,66.6,0,0,0,0,1.65,26.25,0,1.95,0,0,7.68,0,0,2.15,0,1.17
 72-82,1.24,0,6.03,1.92,0,15.71,0,2.03,7.87,7.27,0,1.43,0.53,0,1.43,0,1.88,45.4,0.83,1.45,4.71,74.54,0,0,0,0,0,10.56,0,0.64,0,0,5.09,0,0,11.65,0,2.39
 84-94,0,0,2.22,0,0,43.85,0.56,2.87,8.4,23.95,0,5.52,1.6,2.44,0,0.58,0.72,33.88,1.55,2.81,0.71,30.26,0,0,1.68,0,0,28.08,0,0.7,0,0,1.3,0,0,6.22,1.59,9.33
 96-106,0,0,15.26,2.39,0,21.44,2.56,1.05,8.43,8.63,1.52,2.04,2.26,0.58,0,12.68,0.67,22.24,0,0.8,1.87,49.15,0.64,1.42,4.78,0,0,31.16,0,2.81,0,0,0.73,0,0.92,2.58,0.75,3.81
108-118,0.89,0.74,11.12,0,0,29.04,1.87,1.12,13.51,12.28,0,4.35,1.42,1.95,0.94,0.79,1.6,27.12,8.3,1.56,1.21,48.69,0.85,0.48,1.42,0,1.33,24.87,0,2.13,0,0,3.87,0.84,0,5.97,0.57,1.09
120,0,0,31.59,1.87,1.14,23.52,0,0,12.55,4.4,7.69,11.82,1.4,0,2.85,0,3.12,15.9,1.05,10.27,3.43,59.47,11.22,12.08,23.79,0,0,39.08,0,5.96,0,0,0,0,0,19.81,12.53,17.74
