stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,59.12,2347.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.75,0,0,0,0,0,0,0
  5-6,6.56,774.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.19,0,0,0,9.32,0,0,0,0,0,0,0,0
  7-9,0,42.49,0,0,0,0,10.98,0,0,0,0,0,0,0,0,0,0,0,0,1706.54,0,0,0,735.94,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252.84,5.2,0,0,37.32,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.94,11.31,0,0,0,0,0,1.08,0,0.95,0,0,0,1.23,0,2.15,0,0,1.23,3.17,0,1.07,0,2.86,0.93,0,0,0,0
 24-34,0,0,1.59,2.5,5.16,0,1.08,0,0,0,0.77,0,0,0.81,0,0,0,1.09,0,23.03,0,12.37,0,0,25.85,0,4.08,1.62,0,0,0,0
 36-46,0,0,0,0,2.13,0,1.03,0,0,0,0.65,0,1.01,0.61,0,0,0,0,0,20.87,0,15.34,1.6,0,20.48,0.81,0.56,0.77,0,0,0,0
 48-58,0,0,0,0,0.63,0.43,0.64,0.73,0,0,2.78,0,0,0.5,0,0,1.93,0,0,17.83,0,13.76,0.74,0,9.83,0,1.33,0,0,0,0,0
 60-70,0,0,0.86,0,11.27,0,5.76,0,0,1.94,1.68,0,0,2.13,0,0,1.06,0,0,30.76,0,8.8,0.77,0,7.68,0,0,0,2.18,0,0,0
 72-82,0,0,5.71,0.56,5.26,0,4.41,0,1.44,0,11.08,0,0.51,1.37,0,0,0,0,0,21.86,0,26.55,3.22,0,1.92,0,0,0,0.88,1.33,0,0
 84-94,0,0,5.03,0,5.73,0,0.7,0,0,0,8.88,0,1.18,0,0.6,0.73,1.13,0.61,0,26.58,0,39.21,0.58,0,17,0,0.67,0,3.54,0,0,0
 96-106,0,0,15.37,0,6.18,0,10.14,0,0,0,13.49,2.87,0.92,0.94,10.36,0,3.21,5.14,0.61,20.25,0,40.23,13.1,0,14.37,1.35,0.87,0,6.64,0,1.36,0
108-118,0,0,4.45,0.98,8.77,0,0.42,0,0,2.01,19.46,0.48,0,3.68,8.32,0,2.43,6.76,0,10.45,0,40.36,2.67,0,7.67,0,0.73,0,3.38,0,0,0
120,0,0,0,0,9.75,0,7.73,0,0,0,58.07,0,0,1.69,0,0,13.8,0,0,5.8,0,14.13,4.78,0,5.39,2.5,1.83,0,11.06,0,0,2.08
