stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1.94,32.18,6.41,0,19.65,0,0,0,4.93,0.85,1.79,0,0,0.8,0,0,0,15.48,0,15.37,335.65,3.39,0,1.64,10.42,0,0.84,42.35,1.63,1.74,25.02,71.23,0,0,0,0,0
 24-34,0,2.16,0,0,27.99,0,0,0,6.37,0,0,0.98,0,0,0,0.68,0.84,18.84,0,8.41,358.78,0,0.77,1.16,0,0,1.5,0.95,0,0,1.71,59.27,0,0,4.74,0,0.6
 36-46,0,1.21,0,0,50.59,0,0,0.57,11.11,0,0,0,0,0,0,0,0,28.71,0,1.2,213.83,0,0.62,0,0,0,8.96,0,0.58,0,0,47.96,0,0,1.66,0,0
 48-58,0,0.78,0,0,80,0,0,0.73,16.35,0.64,0,0.45,0,0,0,0.48,1.84,27.63,0,5.31,102.74,0,0.88,0,0,0,3.23,0,0,0,0,23.18,0,0,5.63,0,0
 60-70,0,0.6,0,0,37.26,0,6.5,0,10.3,2.55,0,0,0,0,0,0,0,13.63,0,2.61,58,0,0,0,0,0,0,0,0,1.91,0,10.42,0,0,1.25,0,0
 72-82,0,3.23,0,0,31.34,0,0,1.97,4.07,0,0,0,0,0,0,0,0,20.64,0,2.04,32.91,0,0.67,0,0,0,2.48,0,0,0,0,0,0.71,0,1.62,1.94,0
 84-94,0,2.27,0,0,14.82,0,0,0,1.18,0,0,0.85,0,0.55,0,0,0,10.91,0.65,1.51,29.49,0,0,0.88,0,0,0,0,0.62,0,0,10.98,0,0,2,2.14,0
 96-106,0,0,0,0.94,10.51,0,0,0.86,11.6,0,0,2.12,0.77,0,0,0,0,14.79,2.13,0.8,44.98,0,0,0,0,0,10.66,0,0,0,0,0,0.67,0,1.95,0.69,0.58
108-118,0,0,0,0,10.29,0,0,0,11.9,0,0,0,0,0,1.12,0,0,9.84,0,0.43,41.4,0.59,0,0,0,1.92,0,0,0,0,0,1.53,0,1.25,2.66,0.99,0
120,0,0,0,0,1.42,2.05,0,5.31,3.1,0,0,0,0,0,0,0,0,4.72,0,0,38.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,3.35,0
