stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,glial,gut,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,somites,spinal_cord,vasculature
  7-9,5.1,6.43,0,0,0,0,0,0,0,0,0,0,115.45,25.79,0,34.94,0,0,0
 10-12,0,3.65,6.23,0,20.71,0,0,0,0,0,0,0,829.03,16.16,0,28.07,5.73,0,0
 14-21,0,0,0,3.93,0,0,0,0,0,0,0,1.04,7.77,0,0.84,0,1.36,2.21,0
 24-34,0,0,0,0.85,0.61,0,0.88,0,0,0,0,0.96,29.43,0,0,0,1.29,2.93,0
 36-46,0,0,0,0,0,0.86,0,0,0,0,0,0,17.3,0,0,0,0,7.93,0
 48-58,0,0,0,0,4.29,0,0,0,0,0.51,0,0,12.08,0,0,0,0,0,0
 60-70,0,0,0,0.67,7.08,0,5.88,0,0,2.25,0,0,11.98,0.98,0,0,0,0.91,0
 72-82,0,0,0,0.51,1,0,0.79,0,1.05,4.61,0,0,6.57,0,0,0,0,6.59,0
 84-94,0,0,0,0,9.96,0,2.15,0,0,0,0,0,6.22,0,0.9,0,0,0,0
 96-106,0,0,0,0,0,0,1.9,0,0,0,1.26,0.91,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,5.02,0.55,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,7.56,0,12.39,0,0,3.84,14.82,0,4.75,0,0,0,0,0,7.76
