stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,34.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,56.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.55,0,0,0,25.82,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,15.13,0,0,0,0,0,0,0,0,0,0,0,32.64,0,0,0,4.5,0,7.85,0,0,0,0,0
 14-21,0,0,0,1.03,0,1.99,0,0,0,0,0,0,0,1.41,0,0,0,5.56,1.01,0,0,0,0,7.44,0,0,0,0,0
 24-34,0,0,1.07,0.63,0,3.26,0,0,0,0,0,0,0,0,0.6,0,0,3.39,0,0,0,0,0,21.66,0,0.79,0,0,0.84
 36-46,0,0.95,0,9,0,0.58,0,0,0,0,0.75,0,0,1.45,0.67,0,0,24.3,0,0,0,0,0,37.22,1.69,1.71,0,0,5.47
 48-58,0,0,0,0.68,0,3.39,0,0,0.47,3.78,0,0,0,6.43,0,0,0,19.35,0,0,0,0,1.17,7.82,0,5.63,0,0,1.25
 60-70,0,0,0,0,0,63.46,0,0.94,1.04,6.69,0,0,0,0,1.2,0,0,32.84,0,0,0,0,0,6.39,0,0,0,0,0
 72-82,0,6.43,0,6.9,0.89,73.57,6.88,0,2.28,13.82,0,0,0,5.47,4.06,0,0,24.48,0,1.04,0,0,0,8.17,0,2.69,1.86,0,0.59
 84-94,0,10.68,0,1.37,0,81.81,0,0,4.26,21.45,0,0,2.14,0.82,5.07,0,0,11.58,0,0,0,0,1.05,13.21,0,7.86,10.04,0,0.64
 96-106,0,3.83,0,2.45,0,115.7,0,0,2.91,14.12,0,0,0,13.01,1.42,0,1.08,19.78,0,0,0,0,0,17.01,0,0,15.88,0.66,0
108-118,0,4.08,0,5.27,0,106.61,0,0,0.96,12.23,0,0,0,3.37,0,0,0,10.76,0,0,0.84,0,0,5.58,0,0,11.28,0,2.2
120,0,6.16,0,0,0,43.77,0,0,0,6.12,0,1.25,0,6.57,0,1.15,0,28.97,0,0,2.43,0,0,7.51,0,4.48,6.32,3.38,0
