stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.3,0,0,0,16.94,0,22.67,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,421.05,0,88.48,0,14.11,0,0,0,0,0,121.73,0,0,0,0,0,0,0,0,0,0,0,1695.26,0,0,0,86.82,0,48.84,0,41.15,0,0,0,0,0,0,0,0
 14-21,0,0,10.98,2864.4,135.12,0,5.01,0,41.45,0,2.3,310.73,10.61,1.26,0,20.78,0,6.61,0,0,272.67,6,0,130.89,588.75,0,7.15,19.87,23.75,0,264.4,11.58,28.09,0,30.04,404.53,0,0,0,0,0
 24-34,0,0,0,501.68,6.61,0,21.67,0,68.13,0,13.45,22.03,0.67,14.42,0,3.16,10.17,73.75,0,0.62,314.26,0,20.23,13.64,625.89,0.6,10.27,103.98,0,0.99,58.76,0,4.84,0.99,1.47,1093.24,0,0,7.45,0,0
 36-46,0,0,0.71,190.38,0.76,0,158.37,0,10.97,3.06,13.72,13.5,0,14.34,0,10.34,0,26.41,0,0,454.78,4.35,37.6,30.27,701.24,3.41,2.6,114.76,0,3.87,40.51,0,3.54,0.86,0,2618.88,0,2.21,1.43,0,0
 48-58,0,0,0.43,66.32,2.82,0,1246.94,0.38,12.43,6.9,95.59,3.18,1.7,1.74,4.54,4.73,4.83,19.83,4.83,6.04,480.66,0.8,44.14,77.55,1074.25,0,3.58,96.11,0,9.73,20.01,0,0,0,0,3222.67,0,3.45,0.77,5.58,18.7
 60-70,0,0,0,26.99,0,0,1714.97,12.76,12.28,3.71,57.73,6.42,2.38,4.66,0.65,0,0,10.7,8.62,0,360.54,0,51.14,30.25,873.94,0,0.72,68.44,0,1.66,14.37,0,0.88,0,0,1976.57,0,22.74,0,9.81,10.91
 72-82,0,0,0.75,25.45,2.95,0,1002.1,13.44,4.18,11.2,36.16,3.96,0.6,0.87,0,0.7,0,9.74,0.82,0,455.57,0.92,63.45,40.29,972.43,0,0,109.64,0,5.23,12.88,0,0.66,0,0,2178.84,0.77,37.76,7.25,41.03,3.92
 84-94,0,7.7,0,30.53,7.37,0,953.57,36.43,5.42,19.24,51.89,12.2,4.03,1.84,3.86,1.25,0,23.87,0,1.13,292.08,0,44.48,31.73,819.33,1.31,4.57,90.85,0,0.79,22.69,0,4.15,0,0,1249.39,0,31.79,5.59,32.57,0
 96-106,0,0,0,31.63,17.77,0.63,516.99,13.95,5.7,7.43,39.82,7.93,0,0,1.57,1.14,0,23.61,6.8,1.06,325.7,7.39,36.12,27.96,587.25,0,2.51,101.63,0,9.18,46.62,0,6.57,0,0,686.28,0.83,9.39,0.64,51.56,9.09
108-118,0,0,0,23.62,3.45,0,508,30.45,8.35,7.4,43.67,11.74,0,3.53,1.15,0,1.76,10.5,1.1,0,320.2,0,30.36,18.42,900.42,0,0.77,78.38,0,16.22,14.31,0,8.5,0,0,663.08,0,17.51,0,42.84,0
120,1.12,0,0,14.6,0,0,460.93,28.17,6.25,34.88,43.27,4.26,0,2.27,0,0,0,19.59,0,0,217.85,0,34.79,0,672.51,9.03,2.89,52.02,0,16.19,12.11,0,1.86,0,0,693.61,1.1,16.08,5.52,54.75,0
