stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,7.66,3.49,1.31,0,0,0,0,0,1.15,0,0,2.2,0,0,15.02,0,0,0,0,5.85,0,0.91,0,0.84
 24-34,1.28,3.3,0,1.46,0,0,1.55,0,0,0,0,0,1.7,0,1.43,62.83,0,0.61,0.77,0,34.95,0,0.87,0,0
 36-46,0,0,0,1.55,0,0,1.81,0,0,0,0,0,3.03,0,0,86.8,0,10.06,0,0,19.2,0,0.66,0,0
 48-58,0,0.47,0,11.46,0,0,0.44,0,0,0,0,0,3.84,0,0,99.41,0,2.1,0,0,17.96,0,0.99,0,0
 60-70,0,0,0,31.95,0,1.86,0,0.62,0,0,0,0,3.65,0.7,0,132.92,0,1.42,0.69,0,16.14,0,1.65,0,0
 72-82,1.36,2.04,0,52.42,0,0,2.94,1.27,0,0,0,0,14.85,0,0.53,214.93,0.53,3.01,0.5,0,33.12,1.26,3.12,0.93,0
 84-94,0,0,0,35.91,0,0,4.64,1.46,0,0,0,0,17.27,0,0,98.15,0,3.47,0,0,10.84,1.95,2.91,0.63,6.59
 96-106,0,2.11,5.66,30.74,0,0,4.97,6.6,0.8,0,0,0,23.37,0,0,196.18,0,7.97,0,0,22.27,2.96,4.46,0.74,0
108-118,0,4.84,0,36.14,0.76,0,5.94,1.64,0,0,0.65,3.69,5.68,0,0,216.45,4.88,2.53,0,0.6,19.19,1.31,0,0.54,0
120,0,0,0,40.94,0,0,2.21,17.81,0,0,0,0,10.82,9.18,0,268.9,5.39,6.06,0,0,40.14,0,0,0,0
