stage,erythrocytes,eye,glial,gut,hatching.gland,immune,ionocyte,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
 14-21,0.82,0,0,0,1.14,0,0,2.9,0,0,0,2.92,0,0,1.02,0.82,1.03,5.49,4.36,0,0
 24-34,0,0,0,0,0,0,0,5.49,0,0,2.36,0,0,1.9,0,0,0,0,1.13,0,0.63
 36-46,0,0.88,0.63,0,0,0,0,0,0,3.75,4.96,0,0.9,0,0,0,0,0,3.75,0,0
 48-58,0,1.32,0,0,0,0,0,1.04,0,0,2.45,0,0,3.15,0,0,0,0,1.27,0.77,2.63
 60-70,0,3.65,0,0,0,0,0,0,0,1.13,5.25,0,0,4.52,0,0,0,0,0,0.79,0
 72-82,0,0.8,2.33,0,0,0,0,0,1.67,0,1.72,0,0,0.56,0,2.33,0,0,0,3.15,0
 84-94,0,0,0,0,0,0,0.76,0,0.97,2.03,11.47,0,1.11,8.05,0,0,0,0,0,0.8,0
 96-106,0,0.73,0,0,0,2.12,0,0,1.35,0,0,0,0,4.48,0,1.44,0,0,0,3.71,0
108-118,0,0,0,0,0,0.71,0,0,1.38,0,4.89,0,0,2.43,0,0.55,0,0,0,3.38,0
120,0,2.38,28.9,1.09,0,0,2.26,0,0,0,0,0,0,5.91,0,0,0,0,0,0,0
