stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.66,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,103.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.84,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,0,0,24.44,0,0,3.25,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,12.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.49,0,0,0,0,0,0,0,0,0,0,0,0,6.84,0,0,0,0,0,4.84,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74,0,0,0,1.7,0,0,0,0,0,0,0,0.66,0,0,0.84,0,0
 36-46,0,0,3.03,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,4.3,0,0,1.75,17.56,0,0,0,0,7.48,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.47,0,0,0,0,0,0.69,7.14,0,0,0,0,17.31,0,0,5.26,20.16,0,0,0,0,0.93,0,0,0,0,0,2.9,0,0
 60-70,0,0,7.84,0,0,2.87,0,0.96,1.38,0,0,0,2.33,0,0,0,0,30.51,0,8.02,0.63,11.22,0,0,0,0,13.81,0,0,0,0,0,1.68,0,0
 72-82,0,0,5.72,0,0,5.54,0,0,0,1.94,0,3.62,8.32,0,0,0,0,19.81,0,0,0.74,40.27,1.85,0,0,0,8.93,0,0,4.76,0,0.93,10.09,0.71,0
 84-94,0,0,11.28,0,0,0.73,2.94,0,0,2.08,0,0,16.28,0,0,1.13,6.13,28.43,0,0,0,3.04,0.99,0.64,0,0,43.01,0,0,0,6.48,0,9.31,0.77,0
 96-106,0,0,7.56,0,0,4.52,0,0,2.52,1.96,0,1.38,9.42,0.92,1.6,0,0,21.18,3.21,3.68,0,15.78,2.59,0,0,2.56,50.9,0.71,0,0,0,0.58,10.63,2.72,0
108-118,0,0,13.35,1.27,0,5.07,1.4,0,3.81,1.64,0,1.39,18.33,2.58,4.46,0,0,56.9,0,0,1.58,15.28,3.64,2.05,0,2.81,58.83,0.89,0,0,8.77,2.17,12.1,0,2.13
120,0,0,13.02,5.06,2.35,2.23,5.37,0,2.12,8.03,0,2.63,37.43,0,2.12,0,0,40.38,11.27,13.87,4.25,16.98,2.2,0,0,0,96.06,0,0,0,3.65,3.24,49.69,4.8,0
