stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,hatching.gland,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,44.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.56,96.02,8.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.79,0,7.72,0,0,7.14,0,0,0,0,0,57.3,0,0,0,8.07,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,22.79,0,0,0,0,0,4.8,0,0,0,0
 14-21,0,0,0,0,0.83,0,0.93,0,0,0,0.81,0,0,17.08,0,0,0,1.26,0,0,0.84,5.27,0,0
 24-34,0,0,0,0,1.64,0,1.04,0,0,0,1.25,0,0,18.5,2.4,0.94,0,0,0,0,0,6.15,0,0
 36-46,0,0,0,0,1.96,0,1.48,0,0,0,0,1.13,0,15.75,0,1.24,0.91,0,0,0,0,9.92,0,0
 48-58,0,0,0,0,9.85,0,0,0,1.9,0,0,0,0,6.92,0,0.58,0,0,0,0,0,2.9,0,0.71
 60-70,0,0,0,2.22,0.99,0,3.84,0,0,0,0,0,0.56,23.99,0,2.33,0,0,0,0,0,0.95,0,0
 72-82,0,0,0,0,1.44,0,6.27,0,0,0,0.61,0,0,9.08,0,0,0,0,0,0,0,7.49,0,0
 84-94,0,0,0,0,1.21,2.18,5.11,0,0,0,2.75,0,0,11.63,0,0,0,0,0,0,0,1.36,0,0
 96-106,0,0,0,0,0,0,1.9,0,0,2.1,1.12,0,0,1.1,0,1.47,0,0,0,0,0,0.67,0,0
108-118,0,0,0,0,4.05,0.73,1.64,0,0,0,5.61,0,0,7.19,0,0,0,0,0,0,0,0,1.09,0.75
120,0,0,0,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18,0,0,0,0,0
