stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,glial,hatching.gland,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,periderm,slow.muscle,spinal.cord
  3-4,11.51,373.32,0,0,0,0,0,0,0,0,0,0,0,25.58,0,0
  5-6,11.49,317.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.22,0,37.38,0,0,12.03,0,0,0,258.55,75.7,0,0,0
 10-12,0,7.29,13.75,0,0,0,0,3.01,0,0,0,172.43,78.62,4.52,0,0
 14-21,0,0,0,0.81,0,0,0.83,0,0,0,0,0,0,0,0,0.98
 24-34,0,0,0,0,0,0,0,0,0,0,0,3.98,0,0,0,2.1
 36-46,0,0,0,0,0,0,0,0,0,0,0,2.66,0,0,0,0
 48-58,0,0,0,0,0,0,1.84,0,0.44,4.62,0,13.09,0,0,0,0.8
 60-70,0,0,0,0,0,0,0,0,0,5.65,0,7.17,0,0,1.58,0
 72-82,0,0,0,0,0.89,0.55,0,0,0,0,0,2.78,0,1.31,0,0
 96-106,0,0,0,0,1.58,0,0,0,1.04,0,0,0,0,0,0,0
108-118,0,0,0,0,1.84,0,0,0,0,0,0.48,0,0,0,0,0
