stage,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,50.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,138.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.62,0,0,9.89,0,0,0,0,0,0,0
  7-9,5.65,13.18,0,20.9,0,0,0,3.74,0,0,0,0,0,0,0,92.89,3.43,0,25.68,0,0,0,0,0,0,0
 10-12,4.57,5.83,0,4.46,0,0,0,0,0,0,0,0,0,0,0,170.68,0,0,20.19,0,0,0,0,0,0,0
 14-21,0,0,0,0.86,0,0,0,0,0,0,0,0,1.37,0,0,7.5,0,0,0,0,0,0.84,0,5.39,0,0
 24-34,0,0,0,2.5,0,0.87,0,0,0,0,0,0,2.65,0,2.54,31.43,0,0.77,0,0,6.24,0,0.61,7.19,0,0
 36-46,0,0,0,4.76,1.09,0.82,0,0,0.73,0,0,0,0,0,0,33.35,0,0,0,0,0,0,0,3.71,0,0
 48-58,0,0,0,4.24,0,0.6,0,0,0,7.01,0,0,4.54,0,0,41.68,0,0,0,0,0,0,0,6.3,0,1.04
 60-70,0,0,0,18.3,0,3.68,0,0,0,0.63,1.16,0,2.93,0,0,24.1,0,0,0,0,1.28,1.95,0,7.43,0,0
 72-82,0,0,0,1.82,0,0,0,0,0,0.54,0,0,1.76,1.09,0,25.76,0,1.31,0,0,0,0,0,2.4,0,1.75
 84-94,0,0,1.12,2.83,0,6.71,0.72,0,0,0,0.76,0,4.74,0.98,1.51,22.82,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,10.7,0,2.43,0,0,1.68,0,0,9.42,8.09,0,0,9.11,0,2.57,0,0,1.53,0,0,0,0,0
108-118,0,0,0.73,16.76,0,1.37,0,0,0,1,0.67,0,8.2,0,0.47,19.76,0,0,0,4.55,0.77,0.78,0,0,3.26,0.77
120,0,0,0,3.48,0,0,0,0,0,0,0,0,0,0,0,17.61,0,0,0,0,0,0,0,5.26,0,0
