stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,212.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.43,0,0,0,0,0,0,0,0
  5-6,18.45,120.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.33,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.24,0,0,8.67,0,0,0,9.14,0,0,0,0,0,0,0,0,0,0,0,0,0,38.53,0,0,11.21,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,24.87,0,0,0,0,0,3.88,0,0,0,0,0,0,0,59.07,0,0,15.55,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,12.37,3.27,0,194.18,0,0,0,2.2,0.94,4.04,43.58,0,0,0,213.51,0,107.89,139.61,2.03,0,0.94,0,2.11,0,0,1.42,4.68,0,0,0,0
 24-34,0.88,0,0,0,3.78,3.48,0,277.27,0,0,0,4.99,0,0,57.67,0,0,0,293.22,3.35,63.69,226.78,0.64,0,0,0.99,2.32,0,1.49,2.18,12.58,0,1.9,0,0
 36-46,0,0,0,0,2.55,0,0,142.89,0,0,1.2,0,0,0,46.31,0,0,0,368.62,0.6,6.86,113.74,0,0,0,0,0,0,0,0,7.27,0,0,0,1.39
 48-58,0,0,0,0,0,0,0,158.69,0,5.69,20.24,6.93,0,0,16.26,0,1.26,0,371.72,1.11,8.65,101.77,0,0,0,1.65,0,0,0,0,6.91,0,0,0,2.94
 60-70,0,0,0.63,0,0.94,0,2.15,214.06,0,0,36.72,5.43,0,0,16.32,0,0,0,482.62,1.19,8.65,53.53,0,0,0,0.94,0,0,0,0,3.54,0,0,0.73,0
 72-82,0,0,0,0,4.89,0,0,206.38,0.7,2.41,58.9,8.27,0,0,7.37,0,0,0,763.52,0,3.29,20.49,0,0.71,0,0,0,0,0,0,1.73,0,6.38,2.26,0
 84-94,0,0,0,0,0,4.33,0,170.05,0,2.61,52.76,3.22,0,0,7.82,0,1.78,0,747.12,0.57,4.97,8.63,0,0,0,0,0,1.38,0,0,0,1.08,0,2.03,0
 96-106,0,0,0,0,2.7,2.27,0,110,1.29,0,36.06,6.84,0,0,9.48,1.36,0,0,593.15,0,0,17.63,0,0,0,0,0,0,0,0,0,0,5.15,5.16,10.54
108-118,0,0,0,0,7.84,4.33,0,89.84,1.02,2.38,57.31,14.31,0,0,8.19,1.89,0,8.14,678.11,2.55,0,14,0,0.72,0,2.73,2.81,0,0,0,0,0.77,0,3.65,5.13
120,0,0,0,0,0,0,0,61.62,0,1.8,20.86,6.32,0,0,13,0,0,0,707.48,0,0,58.79,0,0,0,0,4.01,0,0,0,0,0,0,0,0
